prodcode,prodname,other_lipid
4920,Fenofibrate micronised 200mg capsules,1
4928,Lipantil Micro 200 capsules (Mylan),1
49609,Bezafibrate 400mg Modified-release tablet (Sandoz Ltd),1
50071,Fenofibrate 160mg Tablet (Teva UK Ltd),1
5216,Bezalip mono 400mg Modified-release tablet (Roche Products Ltd),1
52814,Bezafibrate 400mg modified-release tablets (Alliance Healthcare (Distribution) Ltd),1
53250,Modalim 100mg tablets (Lexon (UK) Ltd),1
53823,Solgar Niacin 500mg capsules (Solgar Vitamin and Herb),1
5390,Fenofibrate micronised 267mg capsules,1
5564,Colestid Orange sachets (Pharmacia Ltd),1
55971,Prestylon 1g capsules (Teva UK Ltd),1
56426,Teromeg 1000mg capsules (AMCo),1
57219,Fenofibrate micronised 200mg capsules (Sandoz Ltd),1
57234,Omacor capsules (DE Pharmaceuticals),1
57489,Ciprofibrate 100mg tablets (Zentiva),1
57583,Eicosapentaenoic acid 460mg / Docosahexaenoic acid 380mg capsules (Huxley Europe Ltd),1
58635,Bezalip Mono 400mg modified-release tablets (DE Pharmaceuticals),1
58655,Omega 3-acid-ethyl esters 1000mg capsules (Glenmark Pharmaceuticals Europe Ltd),1
59002,Bezafibrate 400mg modified-release tablets (DE Pharmaceuticals),1
602,Bezafibrate 400mg modified-release tablets,1
6024,Eicosapentaenoic acid 460mg / Docosahexaenoic acid 380mg capsules,1
60385,Bezalip Mono 400mg modified-release tablets (Lexon (UK) Ltd),1
60788,Fenofibrate micronised 267mg capsules (Zentiva),1
61087,Questran Light 4g oral powder sachets (Mawdsley-Brooks & Company Ltd),1
6120,Ezetrol 10mg tablets (Merck Sharp & Dohme Ltd),1
61269,Nebbaro 1000mg capsules (Zentiva),1
61523,Omega 3 1000mg capsules (Alissa Healthcare Research Ltd),1
6365,Colestid 5g granules sachets plain (Pfizer Ltd),1
63737,Fenofibrate micronised 267mg capsules (Sigma Pharmaceuticals Plc),1
64503,Bezalip Mono 400mg modified-release tablets (Waymade Healthcare Plc),1
64933,Fenofibrate micronised 267mg capsules (Ranbaxy (UK) Ltd),1
64984,Fenofibrate micronised 160mg tablets (Phoenix Healthcare Distribution Ltd),1
653,Ezetimibe 10mg tablets,1
65572,Fenofibrate micronised 160mg tablets (Thornton & Ross Ltd),1
6572,Omacor capsules (Mylan),1
66087,Modalim 100mg tablets (Mawdsley-Brooks & Company Ltd),1
66425,Bezafibrate 400mg modified-release tablets (A A H Pharmaceuticals Ltd),1
66564,Bezafibrate 400mg modified-release tablets (Phoenix Healthcare Distribution Ltd),1
67157,Fenofibrate micronised 200mg capsules (Phoenix Healthcare Distribution Ltd),1
67329,Lipantil Micro 267 capsules (DE Pharmaceuticals),1
67883,Lomitapide 5mg capsules,1
70397,Repatha 140mg/1ml solution for injection pre-filled syringes (Amgen Ltd),1
70580,Evolocumab 140mg/1ml solution for injection pre-filled disposable devices,1
70673,Alirocumab 75mg/1ml solution for injection pre-filled disposable devices,1
70751,Bezalip Mono 400mg modified-release tablets (Sigma Pharmaceuticals Plc),1
70950,Fenofibrate micronised 200mg capsules (Waymade Healthcare Plc),1
71016,Ciprofibrate 100mg tablets (DE Pharmaceuticals),1
71793,Alirocumab 150mg/1ml solution for injection pre-filled disposable devices,1
72032,G & G Omega 3 1000mg softgels capsules (G & G Food Supplies Ltd),1
7540,Lipantil Micro 267 capsules (Mylan),1
7544,Niaspan 750mg modified-release tablets (Abbott Laboratories Ltd),1
7551,Niaspan 1g modified-release tablets (Abbott Laboratories Ltd),1
8082,Gemfibrozil 600mg tablets,1
8104,Acipimox 250mg capsules,1
8706,Modalim 100mg tablets (Sanofi),1
8907,CHOLESTYRAMINE 325 MG CAP,1
9491,Fenofibrate micronised 67mg capsules,1
9639,Fenofibrate micronised 160mg tablets,1
9716,Supralip 160mg tablets (Mylan),1
