prodcode,prodname,antiplat
9211,ADIZEM-XL 180 MG CAP,1
9240,Adizem xl 180mg Capsule (Napp Pharmaceuticals Ltd),1
9269,Nifedipine 40mg modified-release tablets,1
9334,Plendil 2.5mg modified-release tablets (AstraZeneca UK Ltd),1
9374,Adizem 60mg Modified-release tablet (Napp Pharmaceuticals Ltd),1
9386,Nicardipine 45mg modified-release capsules,1
9410,Angitil SR 120 capsules (Chiesi Ltd),1
9437,Plendil 5mg modified-release tablets (AstraZeneca UK Ltd),1
9485,Hypolar Retard 20 tablets (Sandoz Ltd),1
9553,Slofedipine XL 60 tablets (Zentiva),1
9569,Verapamil 120mg modified-release tablets,1
9573,Slofedipine XL 30mg tablets (Zentiva),1
9670,Motens 4mg tablets (GlaxoSmithKline UK Ltd),1
9708,Diltiazem 24hr 120mg modified-release capsules,1
9723,Calcicard CR 90mg tablets (Teva UK Ltd),1
9750,Nifedipine 60mg modified-release capsules,1
10135,Nifedipress mr 10mg Modified-release tablet (Sandoz Ltd),1
10136,Nifedipress MR 20 tablets (Dexcel-Pharma Ltd),1
10153,Felendil xl 5mg Modified-release tablet (Ratiopharm UK Ltd),1
10246,Adipine XL 60mg tablets (Chiesi Ltd),1
10267,Adizem-XL 200mg capsules (Napp Pharmaceuticals Ltd),1
10595,Nimotop 30mg tablets (Bayer Plc),1
10688,Verapamil 160mg tablets,1
10832,Securon 80mg Tablet (Abbott Laboratories Ltd),1
10897,VERAPAMIL S/F 40 MG/5ML SOL,1
11223,Angitil SR 90 capsules (Chiesi Ltd),1
11512,Nifedipress MR 10 tablets (Dexcel-Pharma Ltd),1
11547,Nimodipine 30mg tablets,1
11567,Ramipril 5mg with felodipine 5mg modified-release tablet,1
11769,Calchan MR 20 tablets (Ranbaxy (UK) Ltd),1
11770,Dilzem SR 60 capsules (Teva UK Ltd),1
11777,Verapamil 40mg/5ml oral solution sugar free,1
11922,Diltiazem 60mg/5ml oral suspension,1
11943,Cardene 20mg capsules (Astellas Pharma Ltd),1
11965,Ramipril 2.5mg with felodipine 2.5mg modified-release tablet,1
11966,Motens 2mg tablets (GlaxoSmithKline UK Ltd),1
11972,Vertab SR 240 tablets (Chiesi Ltd),1
11973,Calcicard CR 120mg tablets (Teva UK Ltd),1
12104,Cordilox 160mg tablets (IVAX Pharmaceuticals UK Ltd),1
12392,Univer 180mg modified-release capsules (Teva UK Ltd),1
12606,Nifelease 20mg Modified-release tablet (Eastern Pharmaceuticals Ltd),1
12613,Unipine xl 30mg Modified-release tablet (Genus Pharmaceuticals Ltd),1
12639,Diltiazem HCl 90mg Modified-release tablet (Actavis UK Ltd),1
12705,Angiozem CR 90mg tablets (Ashbourne Pharmaceuticals Ltd),1
12875,Cardene SR 45mg capsules (Astellas Pharma Ltd),1
13027,Viazem XL 240mg capsules (Thornton & Ross Ltd),1
13033,Angitil XL 240 capsules (Chiesi Ltd),1
13075,Dilzem XL 180 capsules (Teva UK Ltd),1
13127,Dilzem XL 240 capsules (Teva UK Ltd),1
13139,Adipine XL 30mg tablets (Chiesi Ltd),1
13240,Dilzem XL 120 capsules (Teva UK Ltd),1
13243,Lercanidipine 20mg tablets,1
13251,Vera-Til SR 240mg tablets (Tillomed Laboratories Ltd),1
13302,Dilzem SR 90 capsules (Teva UK Ltd),1
13410,Angiozem 60mg modified-release tablets (Ashbourne Pharmaceuticals Ltd),1
13672,Angiopine MR 10mg tablets (Ashbourne Pharmaceuticals Ltd),1
13699,Angiopine la 40mg Tablet (Ashbourne Pharmaceuticals Ltd),1
13856,Verapress MR 240mg tablets (Actavis UK Ltd),1
13926,Diltiazem 360mg modified-release capsules,1
13965,Cordilox MR 240mg tablets (Teva UK Ltd),1
14300,Zanidip 20mg tablets (Recordati Pharmaceuticals Ltd),1
14305,Vascalpha 10mg modified-release tablets (Actavis UK Ltd),1
14861,Calchan MR 10 tablets (Ranbaxy (UK) Ltd),1
15117,Nifedipine with atenolol 20mg + 50mg Capsule,1
15221,Dilcardia xl 180mg Modified-release capsule (Generics (UK) Ltd),1
15288,Angitil XL 300 capsules (Chiesi Ltd),1
15659,DILTIAZEM HCL S/R 180 CAP,1
15715,Genalat retard 20mg Modified-release tablet (Wyeth Pharmaceuticals),1
16038,Dilzem SR 120 capsules (Teva UK Ltd),1
16073,Nifedipress MR 10 tablets (Teva UK Ltd),1
16162,Amlodipine 5mg/5ml oral suspension,1
16328,Verapress MR 240mg tablets (Dexcel-Pharma Ltd),1
16677,Cordilox 80mg tablets (IVAX Pharmaceuticals UK Ltd),1
16850,Angiozem CR 120mg tablets (Ashbourne Pharmaceuticals Ltd),1
17006,Triapin 5mg/5mg modified-release tablets (Sanofi),1
17325,Cardilate MR 10mg tablets (Teva UK Ltd),1
17338,Nifedotard 20 mr 20mg Modified-release tablet (Galen Ltd),1
17342,Nivaten retard 10mg Modified-release tablet (Actavis UK Ltd),1
17406,Zemtard 180 XL capsules (Galen Ltd),1
17425,Zemtard 120 XL capsules (Galen Ltd),1
17448,Nifedipress mr 10mg Modified-release tablet (Sterwin Medicines),1
17474,Felodipine 5mg modified-release / Ramipril 5mg tablets,1
17492,Zemtard 300 XL capsules (Galen Ltd),1
17557,Felotens XL 5mg tablets (Genus Pharmaceuticals Ltd),1
17566,Felotens XL 10mg tablets (Genus Pharmaceuticals Ltd),1
17586,Slozem 300mg capsules (Merck Serono Ltd),1
17599,Verapress MR 240mg tablets (Sandoz Ltd),1
17640,Amlostin 5mg tablets (Discovery Pharmaceuticals),1
17666,Viazem XL 180mg capsules (Thornton & Ross Ltd),1
18223,Trandolapril with verapamil 2mg + 180mg Modified-release capsule,1
18379,Dilcardia SR 90mg capsules (Mylan Ltd),1
18403,Diltiazem HCl 180mg Modified-release capsule (Hillcross Pharmaceuticals Ltd),1
18404,Diltiazem 60mg modified-release capsules (A A H Pharmaceuticals Ltd),1
18606,Diltiazem and hydrochlorothiazide 150mg+12.5mg modified-release capsules,1
18631,VERAPAMIL HCL MR,1
18690,SECURON (CALENDAR PACK) 120 MG TAB,1
18830,Disogram SR 90mg capsules (Ranbaxy (UK) Ltd),1
18834,Disogram SR 60mg capsules (Ranbaxy (UK) Ltd),1
18852,Disogram SR 120mg capsules (Ranbaxy (UK) Ltd),1
18874,Disogram SR 180mg capsules (Ranbaxy (UK) Ltd),1
18975,Calcicard 60mg Tablet (3M Health Care Ltd),1
19015,ADIZEM CONTINUS 120 MG TAB,1
19170,Tensipine MR 10 tablets (Genus Pharmaceuticals Ltd),1
19175,Verapamil 40mg tablets (IVAX Pharmaceuticals UK Ltd),1
19426,Disogram SR 240mg capsules (Ranbaxy (UK) Ltd),1
19440,Disogram SR 300mg capsules (Ranbaxy (UK) Ltd),1
19457,Ranvera MR 240mg tablets (Ranbaxy (UK) Ltd),1
19459,Verapamil 240mg modified-release tablets (A A H Pharmaceuticals Ltd),1
19690,Verapamil 180mg modified-release / Trandolapril 2mg capsules,1
20257,Cardilate MR 20mg tablets (IVAX Pharmaceuticals UK Ltd),1
20311,Nifedipress mr 20mg Modified-release tablet (Generics (UK) Ltd),1
20459,Felendil xl 10mg Modified-release tablet (Ratiopharm UK Ltd),1
20579,Tarka modified-release capsules (Abbott Laboratories Ltd),1
20591,Nifedipress MR 20 tablets (Teva UK Ltd),1
20642,Bi-carzem sr 60mg Modified-release capsule (Tillomed Laboratories Ltd),1
20878,Angiopine 10 capsules (Ashbourne Pharmaceuticals Ltd),1
20890,Zemtard 240 XL capsules (Galen Ltd),1
21145,Dilcardia SR 60mg capsules (Mylan Ltd),1
21162,Felodipine 2.5mg modified-release / Ramipril 2.5mg tablets,1
21216,Hypolar Retard 10mg tablets (Sandoz Ltd),1
21245,Nifedipress mr 10mg Modified-release tablet (Actavis UK Ltd),1
21665,CORDILOX,1
21763,Diltiazem 60mg modified-release tablets (A A H Pharmaceuticals Ltd),1
21773,Diltiazem HCl 60mg Tablet (Generics (UK) Ltd),1
21778,Diltiazem 60mg modified-release tablets (Teva UK Ltd),1
21795,Retalzem 60 modified-release tablets (Kent Pharmaceuticals Ltd),1
21872,Angiopine 5mg Capsule (Ashbourne Pharmaceuticals Ltd),1
21886,Nifedipress MR 20 tablets (Actavis UK Ltd),1
21918,Optil 60mg modified-release tablets (Opus Pharmaceuticals Ltd),1
22019,Calanif 10mg Capsule (Berk Pharmaceuticals Ltd),1
22142,Calcilat 10mg Capsule (Eastern Pharmaceuticals Ltd),1
22217,Nimodrel 10mg modified-release tablet (Opus Pharmaceuticals Ltd),1
22619,Britiazim 60mg Modified-release tablet (Thames Laboratories Ltd),1
22696,Slofedipine 20mg tablets (Sterwin Medicines),1
22826,Securon 160mg Tablet (Abbott Laboratories Ltd),1
23233,Bi-carzem sr 90mg Modified-release capsule (Tillomed Laboratories Ltd),1
23458,VERAPAMIL SR,1
23505,Adizem xl plus 150mg+12.5mg Modified-release capsule (Napp Pharmaceuticals Ltd),1
23730,VERAPAMIL 100 MG TAB,1
23733,Optil sr 90mg Modified-release capsule (Opus Pharmaceuticals Ltd),1
23736,Hypolar XL 30 tablets (Sandoz Ltd),1
23872,Berkatens 40mg Tablet (Berk Pharmaceuticals Ltd),1
24228,Nimodrel 20mg modified-release tablet (Opus Pharmaceuticals Ltd),1
24365,Cardioplen XL 5mg tablets (Chiesi Ltd),1
24366,Cardioplen XL 10mg tablets (Chiesi Ltd),1
25026,NIFEDIPINE RETARD,1
25027,ADALAT RETARD 10,1
25044,NIFEDIPINE RETARD,1
25054,ADALAT,1
25055,NIFEDIPINE,1
25059,Berkatens 80mg Tablet (Berk Pharmaceuticals Ltd),1
25132,Nifopress MR 20mg tablets (Teva UK Ltd),1
25572,Felogen XL 5mg tablets (Mylan Ltd),1
25646,Nivaten retard 20mg Modified-release tablet (Actavis UK Ltd),1
25777,Dilcardia SR 120mg capsules (Mylan Ltd),1
25919,Nifedipine 20mg modified-release tablets (A A H Pharmaceuticals Ltd),1
26252,Berkatens 160mg Tablet (Berk Pharmaceuticals Ltd),1
26265,Calanif 5mg Capsule (Berk Pharmaceuticals Ltd),1
26267,Optil sr 120mg Modified-release capsule (Opus Pharmaceuticals Ltd),1
26269,Optil sr 180mg Modified-release capsule (Opus Pharmaceuticals Ltd),1
26270,Optil xl 300mg Modified-release capsule (Opus Pharmaceuticals Ltd),1
26309,Optil xl 240mg Modified-release capsule (Opus Pharmaceuticals Ltd),1
26337,Cabren 10mg modified-release tablets (Teva UK Ltd),1
26460,Dilcardia xl 240mg Modified-release capsule (Generics (UK) Ltd),1
26463,Zemret xl 240mg Capsule (Neo Laboratories Ltd),1
26759,Zildil SR 60mg capsules (Chanelle Medical UK Ltd),1
26774,Nifedipine 10mg/5ml Oral suspension,1
27135,Diltiazem sr 90mg Capsule (Hillcross Pharmaceuticals Ltd),1
27136,Diltiazem 90mg modified-release tablets (A A H Pharmaceuticals Ltd),1
27401,Kenzem SR 90mg capsules (Kent Pharmaceuticals Ltd),1
27685,Diltiazem HCl 300mg Capsule (PLIVA Pharma Ltd),1
27910,ADALAT 5,1
28438,Triapin 2.5mg/2.5mg modified-release tablets (Sanofi),1
28688,Nifedipine 10mg modified-release tablets (A A H Pharmaceuticals Ltd),1
28721,Neofel XL 5mg tablets (Kent Pharmaceuticals Ltd),1
28843,Verapamil hc 80mg Tablet (Celltech Pharma Europe Ltd),1
28844,Berkatens 120mg Tablet (Berk Pharmaceuticals Ltd),1
28949,Bi-carzem sr 120mg Modified-release capsule (Tillomed Laboratories Ltd),1
29044,Neofel XL 10mg tablets (Kent Pharmaceuticals Ltd),1
29145,Felendil xl 2.5mg Modified-release tablet (Ratiopharm UK Ltd),1
29637,Verapress MR 240mg tablets (Teva UK Ltd),1
29676,Calazem 60mg Modified-release tablet (Berk Pharmaceuticals Ltd),1
30197,Diltiazem 120mg modified-release capsules,1
30199,Nifedipine 30mg modified-release tablets,1
30242,Diltiazem 180mg modified-release capsules,1
30462,Ethimil MR 240mg tablets (Genus Pharmaceuticals Ltd),1
30473,Coroday MR 20mg tablets (Mylan Ltd),1
30491,DILTIAZEM HYDROCHLORIDE,1
30557,Felogen XL 10mg tablets (Mylan Ltd),1
30915,Cabren 2.5mg modified-release tablets (Teva UK Ltd),1
30991,Cabren 5mg modified-release tablets (Teva UK Ltd),1
31489,Bi-carzem xl 240mg Capsule (Tillomed Laboratories Ltd),1
31490,Zolvera 40mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),1
31676,Diltiazem HCl 120mg Modified-release tablet (Actavis UK Ltd),1
31711,Verapamil 80mg tablets (A A H Pharmaceuticals Ltd),1
31737,Zildil SR 120mg capsules (Chanelle Medical UK Ltd),1
31761,Amlostin 10mg tablets (Discovery Pharmaceuticals),1
32089,Diltiazem HCl 120mg Modified-release capsule (Hillcross Pharmaceuticals Ltd),1
32262,Diltiazem HCl 60mg Tablet (C P Pharmaceuticals Ltd),1
32590,Verapamil 40mg tablets (Mylan Ltd),1
32595,Amlodipine 5mg tablets (A A H Pharmaceuticals Ltd),1
32658,Dilcardia xl 120mg Modified-release capsule (Generics (UK) Ltd),1
32870,Diltiazem 60mg modified-release tablets (Sterwin Medicines),1
32917,Amlodipine 5mg tablets (IVAX Pharmaceuticals UK Ltd),1
32922,Felodipine 10mg Modified-release tablet (Sandoz Ltd),1
33025,Nimodrel XL 30mg tablets (Zurich Pharmaceuticals),1
33091,Felodipine 10mg modified-release tablets (A A H Pharmaceuticals Ltd),1
33471,Verapamil 40mg tablets (Actavis UK Ltd),1
33932,Parmid XL 5mg tablets (Sandoz Ltd),1
34093,Amlodipine 10mg tablets (A A H Pharmaceuticals Ltd),1
34101,Nifedipine mr 20mg Modified-release tablet (IVAX Pharmaceuticals UK Ltd),1
34115,Nifedipine 60mg Modified-release tablet,1
34146,Nifedipine mr 10mg Modified-release tablet (IVAX Pharmaceuticals UK Ltd),1
34187,Nifedipine 10mg Modified-release tablet (Generics (UK) Ltd),1
34247,Nifedipine 10mg Capsule (Berk Pharmaceuticals Ltd),1
34377,Diltiazem HCl 90mg Modified-release capsule (Hillcross Pharmaceuticals Ltd),1
34475,Diltiazem HCl 90mg Modified-release tablet (IVAX Pharmaceuticals UK Ltd),1
34522,Nifedipine 5mg capsules (A A H Pharmaceuticals Ltd),1
34581,Diltiazem HCl 60mg Modified-release tablet (Kent Pharmaceuticals Ltd),1
34607,Nifedipine 5mg capsules (IVAX Pharmaceuticals UK Ltd),1
34824,Diltiazem HCl 120mg Modified-release tablet (IVAX Pharmaceuticals UK Ltd),1
34959,Verapamil 40mg tablets (A A H Pharmaceuticals Ltd),1
34975,Nifedipine 5mg capsules (Teva UK Ltd),1
35084,Vascalpha 5mg modified-release tablets (Actavis UK Ltd),1
35096,Exforge 10mg/160mg tablets (Novartis Pharmaceuticals UK Ltd),1
35173,Valsartan 160mg with amlodipine 5mg tablets,1
35174,Valsartan 80mg with amlodipine 5mg tablets,1
35189,Amlodipine 10mg / Valsartan 160mg tablets,1
35304,Valsartan 160mg with amlodipine 10mg tablets,1
35317,Exforge 5mg/80mg tablets (Novartis Pharmaceuticals UK Ltd),1
35329,Amlodipine 5mg / Valsartan 80mg tablets,1
35343,Amlodipine 5mg / Valsartan 160mg tablets,1
35592,Cardioplen XL 2.5mg tablets (Chiesi Ltd),1
35646,Neozipine XL 60mg tablets (Kent Pharmaceuticals Ltd),1
35696,Kenzem SR 120mg capsules (Kent Pharmaceuticals Ltd),1
35697,Exforge 5mg/160mg tablets (Novartis Pharmaceuticals UK Ltd),1
35729,Verapamil 80mg tablets (Teva UK Ltd),1
36202,Amlodipine 10mg tablets (Actavis UK Ltd),1
36583,Zemret xl 180mg Capsule (Neo Laboratories Ltd),1
36620,Parmid XL 10mg tablets (Sandoz Ltd),1
36664,Zemret xl 300mg Capsule (Neo Laboratories Ltd),1
37025,Nifedipine 20mg modified-release tablets,1
37184,Valni XL 30mg tablets (Zentiva),1
37530,Neozipine XL 30mg tablets (Kent Pharmaceuticals Ltd),1
37726,Nifedipine 100mg/5ml oral suspension,1
37774,Kenzem SR 60mg capsules (Kent Pharmaceuticals Ltd),1
37897,Felotens XL 2.5mg tablets (Genus Pharmaceuticals Ltd),1
38066,Diltiazem HCl 60mg Modified-release tablet (Lagap),1
38107,Nifedipine sr 30mg Tablet (Hillcross Pharmaceuticals Ltd),1
38434,Keloc SR 10mg tablets (Teva UK Ltd),1
38545,Tildiem LA 200 capsules (Sanofi),1
38632,Adizem-SR 90mg capsules (Napp Pharmaceuticals Ltd),1
38634,Adizem-XL 300mg capsules (Napp Pharmaceuticals Ltd),1
38818,Adizem-SR 120mg capsules (Napp Pharmaceuticals Ltd),1
38831,Adizem-SR 180mg capsules (Napp Pharmaceuticals Ltd),1
38855,Adizem-XL 180mg capsules (Napp Pharmaceuticals Ltd),1
38865,Adizem-XL 120mg capsules (Napp Pharmaceuticals Ltd),1
38876,Tildiem LA 300 capsules (Sanofi),1
38882,Adizem-XL 240mg capsules (Napp Pharmaceuticals Ltd),1
38964,Adizem-SR 120mg tablets (Napp Pharmaceuticals Ltd),1
39009,Verapamil 40mg tablets (Teva UK Ltd),1
39171,Bi-Carzem SR 60mg capsules (Tillomed Laboratories Ltd),1
39298,Bi-Carzem SR 90mg capsules (Tillomed Laboratories Ltd),1
39357,Neofel XL 2.5mg tablets (Kent Pharmaceuticals Ltd),1
39800,Valni XL 60mg tablets (Zentiva),1
39804,Amlodipine 5mg tablets (Dr Reddy's Laboratories (UK) Ltd),1
39914,Amlodipine 5mg tablets (Teva UK Ltd),1
39984,Sevikar 20mg/5mg tablets (Daiichi Sankyo UK Ltd),1
40074,Nifedipine 20mg Capsule,1
40316,Olmesartan medoxomil 20mg / Amlodipine 5mg tablets,1
40405,Verapamil 120mg tablets (Teva UK Ltd),1
40633,Vascalpha 5mg modified-release tablets (Almus Pharmaceuticals Ltd),1
40639,Olmesartan medoxomil 40mg / Amlodipine 5mg tablets,1
40668,Olmesartan medoxomil 40mg / Amlodipine 10mg tablets,1
41203,Sevikar 40mg/10mg tablets (Daiichi Sankyo UK Ltd),1
41205,Sevikar 40mg/5mg tablets (Daiichi Sankyo UK Ltd),1
41489,Bi-Carzem SR 120mg capsules (Tillomed Laboratories Ltd),1
41586,Verapamil 80mg tablets (Actavis UK Ltd),1
41635,Diltiazem 60mg modified-release tablets (IVAX Pharmaceuticals UK Ltd),1
41679,Verapamil 80mg tablets (IVAX Pharmaceuticals UK Ltd),1
41693,Verapamil 120mg tablets (Mylan Ltd),1
41979,Adipine la 30mg Modified-release tablet (Chiesi Ltd),1
42210,Amlodipine 10mg tablets (Zentiva),1
42625,Vera-Til SR 120mg tablets (Actavis UK Ltd),1
42731,Diltiazem sr 120mg Capsule (Hillcross Pharmaceuticals Ltd),1
42804,Diltiazem HCl 180mg Capsule (PLIVA Pharma Ltd),1
42819,Diltiazem xl 240mg Capsule (Hillcross Pharmaceuticals Ltd),1
42912,Nifedipine 10mg capsules (Teva UK Ltd),1
43222,Valni 20 Retard tablets (Tillomed Laboratories Ltd),1
43394,Pinefeld XL 10mg tablets (Tillomed Laboratories Ltd),1
43410,Nifedipine extra 60mg Modified-release tablet,1
43430,Diltiazem 120mg modified-release tablets (A A H Pharmaceuticals Ltd),1
43470,Amlodipine 5mg tablets (Wockhardt UK Ltd),1
43511,Nifedipine 10mg capsules (A A H Pharmaceuticals Ltd),1
43512,Felodipine 5mg modified-release tablets (A A H Pharmaceuticals Ltd),1
43515,Nifedipine 10mg capsules (Actavis UK Ltd),1
43753,Adalat LA 30 tablets (Bayer Plc),1
43790,Vascalpha 10mg modified-release tablets (Almus Pharmaceuticals Ltd),1
43818,Adalat LA 60 tablets (Bayer Plc),1
43879,Vera-Til SR 240mg tablets (Actavis UK Ltd),1
43880,Amlodipine 5mg tablets (Almus Pharmaceuticals Ltd),1
44192,Zemret 240 XL capsules (Tillomed Laboratories Ltd),1
44859,Felodipine sr 5mg Tablet (Approved Prescription Services Ltd),1
44887,Bi-carzem xl 300mg Capsule (Tillomed Laboratories Ltd),1
45051,Verapamil hc 240mg Modified-release tablet (Actavis UK Ltd),1
45070,Amlodipine 10mg/5ml oral suspension,1
45279,Amlodipine 5mg tablets (Sandoz Ltd),1
45292,Nicardipine 30mg capsules (A A H Pharmaceuticals Ltd),1
45308,Verapamil 240mg modified-release tablets (Mylan Ltd),1
45685,Adanif XL 30mg tablets (Focus Pharmaceuticals Ltd),1
45759,Diltiazem HCl 240mg Capsule (PLIVA Pharma Ltd),1
46009,Verapamil 120mg tablets (Kent Pharmaceuticals Ltd),1
46233,Amlodipine Oral solution,1
46355,Sevikar HCT 20mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd),1
46445,Nifedipine 10mg capsules (IVAX Pharmaceuticals UK Ltd),1
46687,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 20mg + 5mg + 12.5mg Tablet,1
46715,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 10mg + 12.5mg Tablet,1
46724,Amlodipine 5mg/5ml oral solution,1
46792,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 12.5mg Tablet,1
46884,Verapamil hc 240mg Modified-release tablet (Sandoz Ltd),1
46887,Adanif XL 60mg tablets (Focus Pharmaceuticals Ltd),1
46937,Diltiazem 60mg modified-release tablets (Actavis UK Ltd),1
46955,Verapamil 80mg tablets (Mylan Ltd),1
47002,Amlodipine 10mg/5ml sugar free Oral suspension,1
47027,Nifedipine 10mg Modified-release tablet (Kent Pharmaceuticals Ltd),1
