prodcode,prodname,antiplat
48021,aspirin 75mg tablet (hillcross pharmaceuticals ltd),1
48165,aspirin 300mg tablets (aspar pharmaceuticals ltd),1
48974,aspirin 75mg tablets (phoenix healthcare distribution ltd),1
49060,aspirin 75mg dispersible tablets (alliance healthcare (distribution) ltd),1
49220,aspirin 300mg tablets (kent pharmaceuticals ltd),1
49685,aspirin 75mg dispersible tablets (sigma pharmaceuticals plc),1
50555,aspirin 300mg dispersible tablets (de pharmaceuticals),1
50926,aspirin 75mg dispersible tablets (the boots company plc),1
50949,aspirin 75mg tablets (a a h pharmaceuticals ltd),1
51358,dipyridamole 100mg tablets (mylan),1
51561,aspirin 75mg gastro-resistant tablets (zanza specials international ltd),1
52044,aspirin 300mg caplets (the boots company plc),1
52280,aspirin 300mg tablet (wockhardt uk ltd),1
52618,aspirin 75mg dispersible tablets (bristol laboratories ltd),1
52761,clopidogrel 75mg tablets (dr reddy's laboratories (uk) ltd),1
52905,aspirin 300mg tablets (lloyds pharmacy ltd),1
53178,aspirin 75mg gastro-resistant tablets (wockhardt uk ltd),1
53622,aspirin 300mg tablet (m & a pharmachem ltd),1
53711,aspirin 300mg tablet (nucare plc),1
53751,clopidogrel 75mg tablets (phoenix healthcare distribution ltd),1
53804,aspirin 300mg gastro-resistant tablets (alliance healthcare (distribution) ltd),1
53816,aspirin 300mg dispersible tablets (alliance healthcare (distribution) ltd),1
54284,aspirin 75mg dispersible tablets (almus pharmaceuticals ltd),1
54430,aspirin 75mg tablets (alliance healthcare (distribution) ltd),1
54526,aspirin 300mg tablets (alliance healthcare (distribution) ltd),1
54565,aspirin 75mg dispersible tablets (lloyds pharmacy ltd),1
54700,clopidogrel 75mg tablets (a a h pharmaceuticals ltd),1
54734,aspirin 300mg tablets (wockhardt uk ltd),1
54997,aspirin 75mg dispersible tablets (dowelhurst ltd),1
55161,clopidogrel 75mg tablets (wockhardt uk ltd),1
55230,aspirin 300mg dispersible tablets (kent pharmaceuticals ltd),1
56007,aspirin 300mg dispersible tablets (sigma pharmaceuticals plc),1
56503,asasantin retard capsules (mawdsley-brooks & company ltd),1
56736,aspirin 300mg tablets (waymade healthcare plc),1
56807,clopidogrel 75mg tablets (teva uk ltd),1
56883,aspirin 75mg tablets (waymade healthcare plc),1
56995,aspirin 75mg dispersible tablets (phoenix healthcare distribution ltd),1
56996,aspirin 75mg dispersible tablets (waymade healthcare plc),1
57036,clopidogrel 75mg tablets (mylan),1
57057,aspirin 75mg dispersible tablets (wockhardt uk ltd),1
57585,asasantin retard capsules (dowelhurst ltd),1
58331,aspirin 300mg gastro-resistant tablets (mylan),1
58347,clopidogrel 75mg tablets (de pharmaceuticals),1
58448,clopidogrel 75mg tablets (aspire pharma ltd),1
59021,aspirin 75mg gastro-resistant tablets (bristol laboratories ltd),1
59244,aspirin 100mg capsules,1
59253,aspirin 75mg gastro-resistant tablets (waymade healthcare plc),1
59470,persantin retard 200mg capsules (consilient health ltd),1
59728,aspirin 75mg tablets (alissa healthcare research ltd),1
59791,aspirin 75mg dispersible tablets (aspar pharmaceuticals ltd),1
59904,clopidogrel 75mg/5ml oral solution,1
60127,aspirin 75mg tablets (de pharmaceuticals),1
60278,aspirin 300mg tablets (de pharmaceuticals),1
60321,dipyridamole 25mg tablets (phoenix healthcare distribution ltd),1
60605,dipyridamole 25mg tablets (a a h pharmaceuticals ltd),1
60693,aspirin 15mg/5ml oral solution,1
60694,aspirin 25mg/5ml oral solution,1
60777,aspirin 75mg gastro-resistant tablets (de pharmaceuticals),1
62334,aspirin 300mg caplets (wockhardt uk ltd),1
62707,dipyridamole 25mg tablets (alliance healthcare (distribution) ltd),1
62855,clopidogrel 75mg tablets (alliance healthcare (distribution) ltd),1
62978,clopidogrel 75mg tablets (sandoz ltd),1
63450,clopidogrel 75mg tablets (almus pharmaceuticals ltd),1
63603,laboprin tablet (laboratories for applied biology ltd),1
64071,aspirin powder (j m loveridge ltd),1
64222,dipyridamole 50mg/5ml oral solution,1
64837,ofcram pr 200mg capsules (focus pharmaceuticals ltd),1
64929,dipyridamole 200mg/5ml oral suspension,1
65909,clopidogrel 75mg tablets (milpharm ltd),1
66345,aspirin 75mg dispersible tablets (de pharmaceuticals),1
66546,aspirin 75mg dispersible tablets (numark ltd),1
66563,aspirin 75mg gastro-resistant tablets (phoenix healthcare distribution ltd),1
66784,attia 200mg modified-release capsules (dr reddy's laboratories (uk) ltd),1
66840,dipyridamole 200mg/5ml oral suspension sugar free,1
66861,aspirin 75mg effervescent tablets,1
66973,ticagrelor 60mg tablets,1
67037,clopidogrel 75mg tablets (zentiva),1
67160,aspirin 300mg dispersible tablets (lloyds pharmacy ltd),1
67403,dipyridamole 100mg tablets (dr reddy's laboratories (uk) ltd),1
67521,aspirin 15mg/5ml oral suspension,1
67567,dipyridamole 100mg/5ml oral solution,1
67754,aspirin 300mg dispersible tablets (almus pharmaceuticals ltd),1
67858,aspirin 25mg capsules,1
68710,brilique 60mg tablets (astrazeneca uk ltd),1
68752,aspirin 75mg tablets (sigma pharmaceuticals plc),1
68764,molita 200mg/25mg modified-release capsules (dr reddy's laboratories (uk) ltd),1
69216,dipyridamole 200mg modified-release / aspirin 25mg capsules (a a h pharmaceuticals ltd),1
70549,danamep 75mg dispersible tablets (ecogen europe ltd),1
70606,ticagrelor 90mg orodispersible tablets sugar free,1
70841,aspirin 300mg dispersible tablet (family health),1
71078,aspirin 300mg dispersible tablets (mawdsley-brooks & company ltd),1
71192,aspirin 75mg tablets (kent pharmaceuticals ltd),1
71663,aspirin 75mg tablets (actavis uk ltd),1
71676,aspirin 75mg dispersible tablets (mawdsley-brooks & company ltd),1
71821,aspirin 300mg tablet (numark management ltd),1
72650,dipyridamole oral liquid,1
73435,dipyridamole 100mg tablets (de pharmaceuticals),1
73466,dipyridamole 100mg tablet (approved prescription services ltd),1
73994,aspirin 75mg gastro-resistant tablets (greenfield pharmaceuticals ltd),1
74096,aspirin 50mg/5ml oral suspension,1
74302,aspirin 75mg/5ml oral suspension,1
