prodcode,prodname,diuretics
66598,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (Lupin (Europe) Ltd),1
42488,Furosemide 40mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd),1
52145,Cyclopenthiazide 0.25mg with oxprenolol 160mg modified-release tablets,1
59939,Furosemide 20mg/5ml oral suspension,1
32277,Furosemide 80mg/8ml solution for injection pre-filled syringes,1
30875,Furosemide 250mg/25ml solution for injection ampoules,1
41630,Amiloride 5mg Tablet (IVAX Pharmaceuticals UK Ltd),1
18606,Diltiazem and hydrochlorothiazide 150mg+12.5mg modified-release capsules,1
58077,Spironolactone 8mg/5ml oral suspension,1
62337,Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets (Actavis UK Ltd),1
70370,Eplerenone 25mg tablets (Actavis UK Ltd),1
34622,Co-amilofruse 10mg/80mg tablets (Wockhardt UK Ltd),1
58078,Furosemide 8mg/5ml oral solution,1
29427,Hydrochlorothiazide with metoprolol tartrate 12.5mg with 100mg tablet,1
47804,Co-triamterzide 50mg/25mg tablets (A A H Pharmaceuticals Ltd),1
56804,Chlorothiazide 25mg/5ml oral suspension,1
47647,Co-amilofruse oral liquid,1
20652,Mannitol 10% Infusion,1
56536,Spironolactone 100mg/5ml oral solution,1
65822,Spironolactone 12.5mg/5ml oral suspension,1
47815,Furosemide 20mg Tablet (Celltech Pharma Europe Ltd),1
24280,Totaretic 100mg+25mg Tablet (C P Pharmaceuticals Ltd),1
54679,Chlorothiazide 250mg tablets,1
34934,Bumetanide 1mg tablets (Mylan),1
30913,Betinex 1mg Tablet (Berk Pharmaceuticals Ltd),1
32166,Capto-co 25mg+50mg Tablet (IVAX Pharmaceuticals UK Ltd),1
46952,Co-tenidone 100mg/25mg tablets (Actavis UK Ltd),1
18716,Dryptal 10mg/ml Injection (Berk Pharmaceuticals Ltd),1
68432,Metolazone 2.5mg/5ml oral suspension,1
71377,Frumil LS 20mg/2.5mg tablets (Waymade Healthcare Plc),1
28157,Kalspare ls Tablet (Dominion Pharma),1
41292,Furosemide 20mg tablets (Wockhardt UK Ltd),1
12318,Lasix 250mg/25ml Injection (Hoechst Marion Roussel),1
43523,Amiloride 5mg tablets (Mylan),1
67910,Furosemide 40mg/5ml oral solution,1
45078,Spironolactone 25mg/5ml Oral solution sugar free (Rosemont Pharmaceuticals Ltd),1
59616,Rawel XL 1.5mg tablets (Consilient Health Ltd),1
71348,Frumil 40mg/5mg tablets (Waymade Healthcare Plc),1
33837,Amiloride 5mg tablets (A A H Pharmaceuticals Ltd),1
46930,Amiloride 5mg tablets (Wockhardt UK Ltd),1
43514,Spironolactone 50mg tablets (A A H Pharmaceuticals Ltd),1
55358,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 10mg + 25mg Tablet,1
59030,Furosemide 20mg/5ml oral solution,1
43516,Indapamide 2.5mg tablets (Actavis UK Ltd),1
19195,Spironolactone 50mg Tablet (Wyeth Pharmaceuticals),1
21717,Aqua Ban gastro-resistant tablets (G.R. Lane Health Products Ltd),1
25334,Furosemide 500mg tablets (A A H Pharmaceuticals Ltd),1
41592,Spironolactone 100mg tablets (Actavis UK Ltd),1
41885,Ethibide XL 1.5mg tablets (Genus Pharmaceuticals Ltd),1
54120,Spironolactone 4mg/5ml oral suspension,1
46715,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 10mg + 12.5mg Tablet,1
39602,Bumetanide 1mg tablets (Actavis UK Ltd),1
31470,Tenchlor 50mg/12.5mg tablets (Teva UK Ltd),1
24893,Amilospare Tablet (Ashbourne Pharmaceuticals Ltd),1
23505,Adizem xl plus 150mg+12.5mg Modified-release capsule (Napp Pharmaceuticals Ltd),1
32918,Furosemide 20mg tablets (Sandoz Ltd),1
55399,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets (A A H Pharmaceuticals Ltd),1
25500,Hypertane 50 Tablet (Schwarz Pharma Ltd),1
41405,Furosemide 500mg tablets (Teva UK Ltd),1
51652,Spironolactone 25mg tablets (DE Pharmaceuticals),1
66195,Bumetanide 1mg tablets (Almus Pharmaceuticals Ltd),1
33724,Diuril 250mg/5ml oral suspension (Imported (United States)),1
46302,Neo-Naclex 2.5mg tablets (AMCo),1
37710,Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd),1
35380,Hydrochlorothiazide with olmesartan medoxomil 12.5mg with 20mg tablet,1
39021,Hydrochlorothiazide with olmesartan medoxomil 25mg with 20mg tablet,1
31219,Spironolactone 100mg tablets (A A H Pharmaceuticals Ltd),1
33527,Co-amilofruse 5mg/40mg tablets (Mylan),1
39447,Varbim XL 1.5mg tablets (Teva UK Ltd),1
60465,Furosemide 5mg/5ml oral solution,1
41074,Spironolactone 25mg tablets (Almus Pharmaceuticals Ltd),1
25505,Spiro-co 50mg+50mg Tablet (IVAX Pharmaceuticals UK Ltd),1
27926,Furosemide 20mg tablets (Mylan),1
26529,Furosemide with penbutolol Tablet,1
18983,Brinaldix k Effervescent tablet (Berk Pharmaceuticals Ltd),1
60258,Co-amilofruse 2.5mg/20mg tablets (Aurobindo Pharma Ltd),1
18267,Enduron 5mg Tablet (Abbott Laboratories Ltd),1
20057,Methyclothiazide 5mg Tablet,1
71406,Furosemide 1mg/5ml oral solution,1
59834,Chlorothiazide 250mg/5ml oral solution,1
18332,Aridil 20mg+2.5mg Tablet (C P Pharmaceuticals Ltd),1
34280,Co-amilofruse 2.5mg/20mg tablets (Sandoz Ltd),1
45305,Bumetanide 1mg tablets (Teva UK Ltd),1
46916,Co-amilozide 5mg/50mg tablets (A A H Pharmaceuticals Ltd),1
57556,Spironolactone 12mg/5ml oral solution,1
41660,Spironolactone 100mg tablets (Teva UK Ltd),1
20426,Centyl k 2.5mg+7.7mmol Tablet (Edwin Burgess Ltd),1
44029,Tolvaptan 15mg tablets,1
49388,Spironolactone 100mg/5ml oral suspension,1
31708,Co-tenidone 50mg/12.5mg tablets (Actavis UK Ltd),1
46687,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 20mg + 5mg + 12.5mg Tablet,1
19192,Furosemide 40mg Tablet (M & A Pharmachem Ltd),1
11338,Bendroflumethiazide 5mg with Nadolol 40mg tablets,1
43508,Co-amilofruse 5mg/40mg tablets (Sandoz Ltd),1
26741,Totaretic 50mg+12.5mg Tablet (C P Pharmaceuticals Ltd),1
22912,Bendroflumethiazide 2.5mg with Propanolol 80mg capsules,1
42388,Furosemide 40mg/5ml oral solution sugar free (Focus Pharmaceuticals Ltd),1
34367,Co-amilozide 2.5mg/25mg tablets (Wockhardt UK Ltd),1
29991,Centyl 5mg Tablet (Edwin Burgess Ltd),1
34551,Indapamide 2.5mg tablets (Mylan),1
12517,Timolol maleate with bendroflumethiazide 20mg + 5mg Tablet,1
52366,Spironolactone 5mg/5ml oral solution,1
9431,Frusemek 40mg+5mg Tablet (Approved Prescription Services Ltd),1
51983,Furosemide 5mg/5ml oral suspension,1
29694,Inspra 50mg tablets (Pfizer Ltd),1
24832,Lasipressin Tablet (Hoechst UK Ltd),1
30272,Benthiazide with Triamterene capsules,1
32837,Spironolactone 50mg tablets (Teva UK Ltd),1
32091,Bumetanide 1mg tablets (A A H Pharmaceuticals Ltd),1
13264,Spironolactone 15mg/5ml oral suspension,1
13363,Esidrex 50mg Tablet (Novartis Pharmaceuticals UK Ltd),1
41533,Co-amilofruse 2.5mg/20mg tablets (Teva UK Ltd),1
34034,Co-tenidone 50mg/12.5mg tablets (IVAX Pharmaceuticals UK Ltd),1
31150,Co-amilozide 5mg/50mg tablets (IVAX Pharmaceuticals UK Ltd),1
50079,Spironolactone 10mg/5ml oral suspension,1
34750,Amiloride 5mg tablets (Actavis UK Ltd),1
34557,Furosemide 40mg tablets (IVAX Pharmaceuticals UK Ltd),1
34012,Co-tenidone 100mg/25mg tablets (IVAX Pharmaceuticals UK Ltd),1
26256,Opumide 2.5mg Tablet (Opus Pharmaceuticals Ltd),1
38367,Hydrochlorothiazide with losartan 12.5mg with 100mg Tablet,1
52970,Spironolactone 10mg/5ml oral solution,1
25965,Co-amilofruse 2.5mg/20mg tablets (Wockhardt UK Ltd),1
25717,Furosemide 40mg tablets (Mylan),1
15135,Hydrochlorothiazide with captopril 12.5mg with 25mg Tablet,1
31529,Spironolactone 25mg tablets (Teva UK Ltd),1
51933,Spironolactone 50mg/5ml oral solution,1
50370,Spironolactone 5mg/5ml oral suspension,1
51720,Spironolactone 25mg/5ml oral solution,1
41572,Co-tenidone 100mg/25mg tablets (Teva UK Ltd),1
62066,Cardide SR 1.5mg tablets (Teva UK Ltd),1
24008,Vasetic Tablet (Shire Pharmaceuticals Ltd),1
28177,Hydrochlorothiazide with atenolol and amiloride Capsule,1
41861,Tensaid XL 1.5mg tablets (Mylan),1
33353,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd),1
56157,Perindopril tosilate 5mg / Indapamide 1.25mg tablets,1
62516,Hydrochlorothiazide 12.5mg tablets,1
30773,Co-amilofruse 5mg+40mg Tablet (Berk Pharmaceuticals Ltd),1
25730,Timolol maleate with amiloride and hydrochlorothiazide Tablet,1
31375,Amilamont 5mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),1
34908,Spironolactone 25mg tablets (IVAX Pharmaceuticals UK Ltd),1
31131,Spiro-co 25mg+25mg Tablet (IVAX Pharmaceuticals UK Ltd),1
44168,Indipam XL 1.5mg tablets (Actavis UK Ltd),1
38889,MicardisPlus 80mg/25mg tablets (Boehringer Ingelheim Ltd),1
18973,Centyl 2.5mg Tablet (Edwin Burgess Ltd),1
24268,Hydrochlorothiazide with valsartan 12.5mg with 80mg Tablet,1
27957,Natramid 2.5mg Tablet (Trinity Pharmaceuticals Ltd),1
8303,Tenavoid Tablet (Edwin Burgess Ltd),1
24484,Hydrochlorothiazide with valsartan 12.5mg with 160mg Tablet,1
18497,Amiloride 10mg / furosemide 80mg tablets,1
57539,Zestoretic 10 tablets (Sigma Pharmaceuticals Plc),1
49268,Furosemide 50mg/5ml oral suspension,1
34324,Amiloride 5mg tablets (Teva UK Ltd),1
41719,Co-amilofruse 5mg/40mg tablets (Actavis UK Ltd),1
34124,Bendroflumethiazide 5mg tablets (Actavis UK Ltd),1
13246,Chlorothiazide 150mg/5ml oral suspension,1
17950,Spirolone 50mg Tablet (Berk Pharmaceuticals Ltd),1
12110,Hydroflumethiazide 50mg Tablet,1
8521,Spironolactone 25mg with hydroflumethiazide 25mg tablet,1
25494,Diatensec 50mg Tablet (Pharmacia Ltd),1
3526,Amiloride with atenolol with hydrochlorothiazide capsules,1
10392,Lasix 500mg tablets (Sanofi),1
17902,Spirolone 100mg Tablet (Berk Pharmaceuticals Ltd),1
18650,Edecrin 50mg Tablet (Merck Sharp & Dohme Ltd),1
23456,Hydrochlorothiazide with valsartan 25mg with 160mg Tablet,1
34296,Spironolactone 25mg tablets (A A H Pharmaceuticals Ltd),1
24632,Hydrochlorothiazide with losartan 25mg with 100mg Tablet,1
43915,Olmetec Plus 40mg/12.5mg tablets (Daiichi Sankyo UK Ltd),1
40149,Bendroflumethiazide 5mg tablets (IVAX Pharmaceuticals UK Ltd),1
19258,Furosemide 50mg/5ml solution for injection ampoules,1
36767,Bumetanide 1mg tablets (IVAX Pharmaceuticals UK Ltd),1
15341,Burinex 0.5mg/ml Injection (LEO Pharma),1
14837,Frusol 50mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),1
31548,Furosemide 20mg tablets (Actavis UK Ltd),1
34347,Spironolactone 25mg tablets (Actavis UK Ltd),1
21025,Prestim forte Tablet (LEO Pharma),1
33658,Co-amilofruse 5mg/40mg tablets (A A H Pharmaceuticals Ltd),1
17252,Esidrex 25mg Tablet (Novartis Pharmaceuticals UK Ltd),1
35162,Furosemide 20mg/2ml solution for injection ampoules,1
34899,Co-tenidone 100mg/25mg tablets (A A H Pharmaceuticals Ltd),1
12354,Etacrynic 50mg tablets,1
28129,Co-amilofruse 5mg/40mg tablets (Teva UK Ltd),1
18733,Co-amilozide 5mg with 50mg/ml oral solution,1
30625,Furosemide 20mg tablets (A A H Pharmaceuticals Ltd),1
34825,Co-tenidone 50mg/12.5mg tablets (Teva UK Ltd),1
21911,Spirospare 25mg Tablet (Ashbourne Pharmaceuticals Ltd),1
4161,Spiroctan 25mg Tablet (Roche Products Ltd),1
11156,Spirolone 25mg Tablet (Berk Pharmaceuticals Ltd),1
31773,Co-amilofruse 5mg/40mg tablets (Wockhardt UK Ltd),1
47018,Spironolactone 25mg/5ml oral suspension,1
32094,Co-tenidone 50mg/12.5mg tablets (A A H Pharmaceuticals Ltd),1
26248,Tenchlor 100mg/25mg tablets (Teva UK Ltd),1
31932,Bumetanide 1mg tablets (C P Pharmaceuticals Ltd),1
19142,Bendroflumethiazide 2.5mg with Timolol maleate 10mg tablets,1
4334,Metolazone 500microgram low dose Tablet,1
15488,Metoprolol tartrate with chlortalidone Tablet,1
23091,Spirospare 100 tablets (Ashbourne Pharmaceuticals Ltd),1
7961,Spironolactone 50mg with hydroflumethiazide 50mg tablet,1
41517,Bendroflumethiazide 5mg tablets (Teva UK Ltd),1
36190,Furosemide 5mg/5ml oral solution sugar free,1
4182,Lasix 5mg/5ml oral solution (Borg Medicare),1
21938,Froop Co 5mg/40mg tablets (Ashbourne Pharmaceuticals Ltd),1
67801,Dyazide 50mg/25mg tablets (Lexon (UK) Ltd),1
26275,Nindaxa 2.5 tablets (Ashbourne Pharmaceuticals Ltd),1
14144,Inspra 25mg tablets (Pfizer Ltd),1
11561,Co-zidocapt 12.5mg/25mg tablets,1
26219,Zida-co 5mg+50mg Tablet (Opus Pharmaceuticals Ltd),1
19194,Furosemide 20mg tablets (Teva UK Ltd),1
14109,Spironolactone 100mg/5ml oral solution sugar free,1
27520,Olmetec Plus 20mg/25mg tablets (Daiichi Sankyo UK Ltd),1
46990,Spironolactone 50mg/5ml oral suspension,1
19300,Bumetanide 2mg/4ml solution for injection ampoules,1
16786,Chlortalidone 25mg with Atenolol 100mg tablets,1
13525,Hydrenox 50mg Tablet (Knoll Ltd),1
19055,Chlortalidone 12.5mg with Atenolol 50mg tablets,1
11641,Captopril 25mg with Hydrochlorothiazide 12.5mg tablets,1
12367,Piretanide 6mg capsule,1
11268,Torem 2.5mg tablets (Meda Pharmaceuticals Ltd),1
5868,Frusol 20mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),1
22658,Torem 10mg tablets (Meda Pharmaceuticals Ltd),1
41556,Co-amilozide 5mg/50mg tablets (Teva UK Ltd),1
40886,Bendroflumethiazide 2.5mg tablets (Almus Pharmaceuticals Ltd),1
15127,Hydrochlorothiazide with triamterene 25mgwith50mg Tablet,1
15052,Spiroctan 50mg Tablet (Roche Products Ltd),1
7991,Spiroctan 100mg Capsule (Roche Products Ltd),1
12547,Triamterene 50mg / Chlortalidone 50mg tablets,1
10422,Lasix 50mg/5ml Injection (Hoechst UK Ltd),1
16498,Kalspare tablets (DHP Healthcare Ltd),1
39147,Carace 20 Plus tablets (Merck Sharp & Dohme Ltd),1
23427,Bendroflumethiazide 5mg tablets (A A H Pharmaceuticals Ltd),1
26220,Delvas Tablet (Berk Pharmaceuticals Ltd),1
4258,Lasix 20mg/2ml solution for injection ampoules (Sanofi),1
12946,Spironolactone 10mg/5ml oral suspension sugar free,1
19890,Hydrochlorothiazide with amiloride 25mgwith2.5mg Tablet,1
37747,Cozaar-Comp 100mg/12.5mg tablets (Merck Sharp & Dohme Ltd),1
19352,Xuret 0.5mg Tablet (Galen Ltd),1
4705,Furosemide 20mg/2ml Injection,1
26217,Berkamil 5mg Tablet (Berk Pharmaceuticals Ltd),1
29634,Olmetec Plus 20mg/12.5mg tablets (Daiichi Sankyo UK Ltd),1
33083,Indapamide 2.5mg tablets (Teva UK Ltd),1
562,Furosemide 10mg/ml Injection,1
3548,Chlortalidone 100mg tablets,1
42906,Indapamide 2.5mg tablets (Niche Generics Ltd),1
15874,Amiloride 2.5mg / furosemide 20mg tablets,1
6816,Chlorothiazide 250mg/5ml oral suspension,1
31820,Bendroflumethiazide 5mg tablets (Wockhardt UK Ltd),1
9680,Frusol 40mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),1
5220,Furosemide with amiloride 80mg+10mg Tablet,1
43322,Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets,1
14738,Hydrochlorothiazide with losartan 12.5mg with 50mg Tablet,1
35196,CoAprovel 300mg/25mg tablets (Sanofi),1
53674,Metolazone 2.5mg tablets,1
27690,Furosemide 40mg tablets (A A H Pharmaceuticals Ltd),1
38459,Telmisartan 80mg / Hydrochlorothiazide 25mg tablets,1
34059,Bendroflumethiazide 2.5mg tablets (Actavis UK Ltd),1
10066,Torem 5mg tablets (Meda Pharmaceuticals Ltd),1
34006,Furosemide 40mg tablets (Actavis UK Ltd),1
17655,Carace 10 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd),1
11133,Hydrochlorothiazide with captopril 25mg with 50mg Tablet,1
33415,Bendroflumethiazide 2.5mg tablets (Mylan),1
20538,Frumax 40mg Tablet (Ashbourne Pharmaceuticals Ltd),1
