prodcode,prodname,insulin
49831,Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pen (Necessity Supplies Ltd),1
55517,Insulin isophane human 100units/ml suspension for injection 10ml vials,1
62899,Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),1
64987,Abasaglar 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),1
64460,Insulin glargine 300units/ml solution for injection 1.5ml pre-filled disposable devices,1
62180,Insulin aspart 100units/ml solution for injection 1.6ml cartridges,1
63562,Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices,1
50691,Human Mixtard 20 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd),1
50633,Lantus 100units/ml solution for injection 3ml cartridges (Necessity Supplies Ltd),1
55687,Insulin degludec 100units/ml solution for injection 3ml pre-filled disposable devices,1
70055,Fiasp Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),1
67266,Mixtard 50 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc),1
67231,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pen (Dowelhurst Ltd),1
56489,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc),1
47856,Neuphane 100unit/ml Injection (Wellcome Medical Division),1
64723,Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
55603,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pen (DE Pharmaceuticals),1
71361,Humulin I 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc),1
63679,Hypurin soluble 100iu/ml Injection (C P Pharmaceuticals Ltd),1
67267,Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pen (Waymade Healthcare Plc),1
49108,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Necessity Supplies Ltd),1
67230,Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pen (Waymade Healthcare Plc),1
66335,Insulin biphasic isophane porcine 50:50; 100 units/ml Injection,1
59533,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pen (Sigma Pharmaceuticals Plc),1
55462,Tresiba FlexTouch 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),1
53251,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (DE Pharmaceuticals),1
69715,Fiasp 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),1
56502,Actrapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),1
56857,Insulin isophane biphasic human 15/85 100units/ml suspension for injection 3ml cartridges,1
71428,Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pen (Waymade Healthcare Plc),1
60933,Humulin M3 100units/ml suspension for injection 10ml vials (Sigma Pharmaceuticals Plc),1
57622,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Waymade Healthcare Plc),1
57620,Humulin M3 100units/ml suspension for injection 10ml vials (Mawdsley-Brooks & Company Ltd),1
7861,insulin humulin s (neutral) cartridge 100 i/u,1
12244,insulin zinc bovine susp 100 i/u inj,1
30861,insulin zinc human suspension,1
28723,insulin zinc bovine suspension,1
24845,insulin pur-in isophane 100 i/u inj,1
13550,insulin bp 100 i/u,1
7783,insulin isophane (human) 100 i/u inj,1
31267,insulin pur-in mix 50/50 100 i/u inj,1
22806,insulin pork actrapid,1
10546,insulin humulin m4 100 i/u inj,1
14506,insulin bovine protamine zinc 100 i/u inj,1
22496,insulin zinc lente purified suspension,1
14504,insulin hypurin protamine zinc 100 i/u inj,1
8376,insulin isophane 100 i/u,1
10566,insulin humulin m cartridge 100 i/u,1
9079,insulin soluble 100 i/u inj,1
8354,insulin isophane 70%/neutral 30% 100 i/u inj,1
1839,insulin humulin i (isophane) 100 i/u inj,1
20672,insulin hum/actrapid,1
19707,insulin humulin s (neutral soluble),1
7959,insulin mixtard 30/70 40 i/u inj,1
2373,insulin human velosulin 100 i/u inj,1
8839,insulin semitard 100 i/u inj,1
15040,insulin monophane (isophane) 100 i/u inj,1
22823,insulin isophane (purified) 100 i/u inj,1
25006,insulin human actrapid (neutral),1
23003,insulin isophane (nph) 40 i/u,1
24722,insulin isophane 50%/neutral 50% 100 i/u inj,1
21945,insulin pork insulatard,1
20196,insulin soluble 40 i/u inj,1
19829,insulin novo monotard mc,1
7764,insulin neusulin (neutral)(purified) 100 i/u inj,1
22094,insulin humulin m2 vial,1
24485,insulin zinc animal suspension,1
18301,insulin soluble inj i/u^2,1
321,insulin human actrapid (neutral) 40 i/u inj,1
10691,insulin isophane (nph) 100 i/u inj,1
20195,insulin bovine protamine zinc 40 i/u inj,1
12060,insulin quicksol (soluble neutral) 100 i/u inj,1
8646,insulin zinc crystalline susp 100 i/u inj,1
2808,insulin lentard inj,1
4248,insulin novo ultratard mc 100 i/u inj,1
26784,insulin zinc semilente susp bp 100 i/u inj,1
1645,insulin novo actrapid mc 100 i/u inj,1
7763,insulin neuphane (isophane)(purified) 100 i/u inj,1
16209,insulin hypurin soluble 100 i/u inj,1
7765,insulin neutral (human) 100 i/u inj,1
28978,insulin pur-in mix 15/85 100 i/u inj,1
1643,insulin novo monotard mc 100 i/u inj,1
24866,insulin insulatard (leo retard) 40 i/u inj,1
15624,insulin isophane (highly purified) 100 i/u inj,1
7757,insulin neulente (zinc susp)(purified) 100 i/u inj,1
22161,insulin humulin m1 vial,1
20671,insulin hum/actraphane,1
27911,insulin human actrapid penfill,1
32053,insulin humalog mix 25,1
18645,insulin neutral (purified) 100 i/u inj,1
10545,insulin humulin m4 cartridge 100 i/u,1
8838,insulin semitard 40 i/u inj,1
21583,Apidra 100units/ml solution for injection 3ml pre-filled OptiSet pen (Sanofi),1
36430,Insulin soluble human 100units/ml solution for injection 3ml pre-filled disposable devices,1
22945,Insuman rapid 100iu/ml Injection (Aventis Pharma),1
36920,Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pen (Sanofi),1
7793,HumaJect M3 Pen 100units/ml suspension for injection (Eli Lilly and Company Ltd),1
4163,Rapitard MC 100unit/ml Injection (Novo Nordisk Ltd),1
47360,Neutral insulin 100unit/ml Injection (Celltech Pharma Europe Ltd),1
10184,Insulin detemir 100 iu/ml Solution for injection,1
7537,Humulin Zn 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd),1
4199,Humulin m1 100unit/ml M1 injection (Eli Lilly and Company Ltd),1
41834,Insulin zinc suspension lente 100iu/ml Injection (Celltech Pharma Europe Ltd),1
41959,Penject 100unit/ml Injection device (Hypoguard Ltd),1
14938,Insulin soluble bovine cartridge 100unit/ml Solution for injection,1
1593,Insulatard penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),1
30819,Insuman Comb 15 100units/ml suspension for injection 3ml pre-filled OptiSet pen (Sanofi),1
14299,Insulin glulisine 100units/ml solution for injection 3ml cartridges,1
26498,Insulin zinc suspension mixed bovine and porcine 100unit/ml Injection,1
19491,Apidra 100units/ml solution for injection 10ml vials (Sanofi),1
26621,Insulin soluble human crb 100iu/ml Injection,1
27280,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 10ml vials,1
45158,Insuman Comb 15 100units/ml suspension for injection 3ml cartridges (Sanofi),1
7319,Mixtard 20 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),1
7228,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pen (Novo Nordisk Ltd),1
33167,Insulin biphasic isophane human crb 25:75; 100 units/ml Injection,1
46001,Insuman Basal 100units/ml suspension for injection 3ml pre-filled SoloStar pen (Sanofi),1
5021,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),1
11080,Insulin isophane human prb 100iu/ml Injection,1
36066,Insulin isophane bovine 100units/ml suspension for injection 3ml cartridges,1
26060,Insulin lispro 100units/ml solution for injection 10ml vials,1
6057,Lantus 100iu/ml Injection (Aventis Pharma),1
19878,Insulin isophane biphasic human 30/70 100units/ml suspension for injection 3ml pre-filled disposable devices,1
15484,Insulin isophane bovine 100units/ml suspension for injection 1.5ml cartridges,1
42954,Insulin isophane biphasic human 25/75 100units/ml suspension for injection 5ml vials,1
5255,Mixtard 10 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),1
27396,Insulin soluble porcine 100units/ml solution for injection 10ml vials,1
14339,Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials (Wockhardt UK Ltd),1
5214,Insulin lispro 100units/ml solution for injection 1.5ml cartridges,1
10229,Humulin I Pen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
4715,Humalog mix 25 25/75 100units/ml Injection (Eli Lilly and Company Ltd),1
12299,Semitard mc 100unit/ml Injection (Novo Nordisk Ltd),1
10547,Humulin Lente 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd),1
24795,Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml cartridges,1
5933,Mixtard 50 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),1
6958,Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),1
31258,Insulin lispro biphasic 25/75 100units/ml suspension for injection 3ml pre-filled disposable devices,1
1587,Monotard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),1
38422,Isophane 100iu/ml Injection (Celltech Pharma Europe Ltd),1
11337,NovoRapid Novolet 100units/ml solution for injection (Novo Nordisk Ltd),1
2812,Mixtard 40 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),1
14357,Humulin I 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),1
33232,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 5ml vials,1
1805,Mixtard 30/70 100unit/ml Injection (Novo Nordisk Ltd),1
7350,Insulin isophane porcine 100units/ml suspension for injection 10ml vials,1
6061,Novomix 30 30/70 100units/ml Injection (Novo Nordisk Ltd),1
11107,Humulin m4 100unit/ml M4 injection (Eli Lilly and Company Ltd),1
10067,Insulin biphasic aspart human pyr 30:70; 100 units/ml Injection,1
1844,Ultratard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),1
31205,Insuman Comb 50 100units/ml suspension for injection 3ml pre-filled OptiSet pen (Sanofi),1
6209,NovoRapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),1
30686,Insulin isophane porcine 100units/ml suspension for injection 3ml cartridges,1
3396,Penmix 10/90 Penfill (Novo Nordisk Ltd),1
24800,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),1
14925,Insulin isophane human vial 100unit/ml Sterile suspension injection,1
10572,Insulin soluble bovine 100unit/ml Injection,1
3551,Mixtard 20 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),1
19513,Humulin M3 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd),1
17731,Penmix 50/50 100iu/ml Injection (Novo Nordisk Ltd),1
16682,Tempulin 100unit/ml Injection (Knoll Ltd),1
2456,Mixtard 10 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),1
322,Humalog 100units/ml solution for injection 1.5ml cartridges (Eli Lilly and Company Ltd),1
6965,Levemir Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),1
10208,Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pen (Novo Nordisk Ltd),1
10001,Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
21374,Insulin biphasic isophane human prb 40:60; 100 units/ml Injection,1
2454,Mixtard 30 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),1
7318,Humalog 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),1
41120,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 3ml pre-filled disposable devices,1
10207,Insulin isophane human 100units/ml suspension for injection 3ml cartridges,1
7231,Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),1
18590,Insulin isophane bovine 100units/ml suspension for injection 10ml vials,1
27461,Insuman Basal 100units/ml suspension for injection 3ml cartridges (Sanofi),1
28442,Insulin glulisine 100unit/ml Solution for injection,1
22155,Humaject m5 100iu/ml M5 pen (Eli Lilly and Company Ltd),1
30236,Isophane insulin 100iu/ml Injection,1
14933,Hypurin Porcine Isophane 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd),1
5953,Insulin glargine 100iu/ml Injection,1
44378,Insulin isophane biphasic human 25/75 100units/ml suspension for injection 3ml pre-filled disposable devices,1
15199,Insuman comb 25 100iu/ml Injection (Aventis Pharma),1
17336,Novopen 100unit/ml Injection device (Novo Nordisk Ltd),1
36356,Insulin human 3mg inhalation powder blisters,1
10245,Mixtard 10 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),1
8895,Initard 50/50 100unit/ml Injection (Novo Nordisk Ltd),1
14290,Insulatard Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),1
14619,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 1.5ml cartridges,1
9503,Hypurin Bovine Protamine Zinc 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),1
7266,Lantus 100units/ml solution for injection 3ml cartridges (Sanofi),1
21422,Insulin isophane biphasic human 40/60 100units/ml suspension for injection 3ml cartridges,1
13622,Hypurin porcine neutral 100unit/ml Injection (C P Pharmaceuticals Ltd),1
9737,Insulatard innolet 100iu/ml Injection (Novo Nordisk Ltd),1
15961,Insulin isophane human crb 100iu/ml Injection,1
2929,Mixtard 30 100iu/ml GE injection (Novo Nordisk Ltd),1
2220,Penmix 20/80 Pen (Novo Nordisk Ltd),1
14340,Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),1
7300,Mixtard 30 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),1
14930,Hypurin Porcine Neutral 100units/ml solution for injection 3ml cartridges (Wockhardt UK Ltd),1
24002,Insuman Comb 25 100units/ml suspension for injection 5ml vials (Sanofi),1
14928,Insulatard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),1
3439,Penmix 10/90 Pen (Novo Nordisk Ltd),1
7237,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pen (Sanofi),1
8118,Humaject i 100iu/ml Pen (Eli Lilly and Company Ltd),1
1595,Insulatard NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),1
12297,Hypurin bovine neutral 100unit/ml Injection (C P Pharmaceuticals Ltd),1
33966,Insulatard 100unit/ml Injection (Novo Nordisk Ltd),1
10915,Humaject m1 100iu/ml M1 pen (Eli Lilly and Company Ltd),1
4247,Insulin isophane porcine 100units/ml suspension for injection 1.5ml cartridges,1
5845,Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pen (Novo Nordisk Ltd),1
4760,Humulin i 100unit/ml Injection (Eli Lilly and Company Ltd),1
11055,Insulin biphasic isophane human pyr 20:80; 100 units/ml Injection,1
28183,Hypurin Porcine Isophane 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),1
27402,Insulin soluble human 100units/ml solution for injection 10ml vials,1
4093,Humulin M2 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),1
44251,Insulin zinc suspension mixed porcine 100unit/ml Injection,1
23099,Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml pre-filled disposable devices,1
7772,Human protaphane 100unit/ml Injection (Novo Nordisk Ltd),1
16142,Insulin aspart 100units/ml solution for injection 3ml cartridges,1
22058,Pur-in mix 15/85 Injection (C P Pharmaceuticals Ltd),1
8203,Penmix 50/50 100iu/ml Penfill (Novo Nordisk Ltd),1
4784,Lentard mc 100unit/ml Injection (Novo Nordisk Ltd),1
4129,Insulin soluble porcine 100units/ml solution for injection 1.5ml cartridges,1
27177,Insulin biphasic lispro human prb 50:50; 100 units/ml Injection,1
12654,Insulin soluble human prb 100unit/ml Injection,1
36146,Insulin lispro biphasic 50/50 100units/ml suspension for injection 3ml cartridges,1
1886,Insulatard 100iu/ml GE injection (Novo Nordisk Ltd),1
31465,Exubera 1mg inhalation powder blisters (Pfizer Ltd),1
13729,Insulin isophane human emp 100unit/ml Injection,1
29567,Insulin aspart 100units/ml solution for injection 10ml vials,1
7393,Insulin glargine 100units/ml solution for injection 3ml cartridges,1
14362,Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices,1
14301,Insulin detemir 100units/ml solution for injection 3ml cartridges,1
23992,Insuman Basal 100units/ml suspension for injection 3ml pre-filled OptiSet pen (Sanofi),1
24846,Pur-in neutral 100unit/ml Injection (C P Pharmaceuticals Ltd),1
35468,Insuman Basal 100units/ml suspension for injection 5ml vials (Sanofi),1
4790,Mixtard 50 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),1
1840,Humulin s 100unit/ml Injection (Eli Lilly and Company Ltd),1
34031,Monotard mc 100unit/ml Injection (Novo Nordisk Ltd),1
21590,Insulin glulisine 100units/ml solution for injection 3ml pre-filled disposable devices,1
13416,Insulin biphasic 100 units/ml Injection,1
35260,Levemir InnoLet 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),1
24993,Insuman Comb 25 100units/ml suspension for injection 3ml cartridges (Sanofi),1
2459,Pork Mixtard 30 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),1
1649,Human actraphane 100iu/ml Injection (Novo Nordisk Ltd),1
16129,Insulin soluble human 100units/ml solution for injection 3ml cartridges,1
16160,Humulin M3 Pen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
46666,NovoRapid FlexTouch 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),1
29953,Apidra 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi),1
29837,Insulin biphasic isophane human prb 25:75; 100 units/ml Injection,1
13516,Hypurin bovine isophane 100unit/ml Injection (C P Pharmaceuticals Ltd),1
17712,Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),1
26098,Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials (Wockhardt UK Ltd),1
2221,Mixtard 30 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),1
28101,Insulin glulisine 100units/ml solution for injection 10ml vials,1
28096,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 3ml cartridges,1
22983,Insuman Rapid 100units/ml solution for injection 3ml cartridges (Sanofi),1
20422,Insuman comb 15 100iu/ml Injection (Aventis Pharma),1
8322,Insulin zinc suspension mixed human pyr 100unit/ml Injection,1
25812,Insulin isophane human 100units/ml suspension for injection 3ml pre-filled disposable devices,1
7400,Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices,1
36355,Insulin human 1mg inhalation powder blisters,1
26403,Pur-in mix 25/75 Injection (C P Pharmaceuticals Ltd),1
18224,Humalog 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd),1
7267,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),1
25736,Insulin isophane biphasic human 10/90 100units/ml suspension for injection 3ml cartridges,1
25735,Insulin isophane biphasic human 20/80 100units/ml suspension for injection 3ml cartridges,1
25479,Insulin soluble porcine 100units/ml solution for injection 3ml cartridges,1
12638,Insulin soluble human pyr 100unit/ml Injection,1
4706,Velosulin 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),1
1843,Pork Insulatard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),1
27614,Penmix 30/70 100iu/ml Injection (Novo Nordisk Ltd),1
9565,HumaJect S Pen 100units/ml solution for injection (Eli Lilly and Company Ltd),1
19877,Insulin aspart 100units/ml solution for injection 3ml pre-filled disposable devices,1
2455,Mixtard 20 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),1
44480,Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled SoloStar pen (Sanofi),1
14918,Humulin I 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd),1
10277,Humulin M3 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),1
43953,Insulin lispro biphasic 25/75 100units/ml suspension for injection 10ml vials,1
17809,Humaject m4 100iu/ml M4 pen (Eli Lilly and Company Ltd),1
10910,Humaject m2 100iu/ml M2 pen (Eli Lilly and Company Ltd),1
22697,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 1.5ml cartridges,1
14644,Insulin biphasic isophane human prb 20:80; 100 units/ml Injection,1
7402,Lantus 100units/ml solution for injection 10ml vials (Sanofi),1
25133,Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled OptiSet pen (Sanofi),1
18461,Insulin zinc mixed human 100units/ml suspension for injection 10ml vials,1
14270,Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
7349,Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),1
21110,Insulin biphasic isophane human prb 50:50; 100 units/ml Injection,1
21347,Penmix 40/60 100iu/ml Injection (Novo Nordisk Ltd),1
21235,Humulin S 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd),1
12818,Human Mixtard 50 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),1
13819,Hypurin Porcine Isophane 100units/ml suspension for injection 1.5ml cartridges (C P Pharmaceuticals Ltd),1
16152,Insulin isophane biphasic human 30/70 100units/ml suspension for injection 3ml cartridges,1
14345,Apidra 100units/ml solution for injection 3ml cartridges (Sanofi),1
18931,Insulin zinc crystalline human 100units/ml suspension for injection 10ml vials,1
34097,Human initard 50/50 100unit/ml Injection (Novo Nordisk Ltd),1
18593,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),1
39086,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
1592,Actrapid penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),1
21554,Insuman comb 50 100iu/ml Injection (Aventis Pharma),1
13837,Insulin biphasic isophane human prb 10:90; 100 units/ml Injection,1
1842,Pork velosulin 100unit/ml Injection (Novo Nordisk Ltd),1
1594,Actrapid NovoLet 100units/ml solution for injection (Novo Nordisk Ltd),1
42395,Humalog Mix25 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd),1
1806,Penmix 30/70 100iu/ml Penfill (Novo Nordisk Ltd),1
38986,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
6447,Insulin aspart human pyr 100 iu/ml Injection,1
14944,Humulin S 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),1
31467,Exubera 3mg inhalation powder blisters (Pfizer Ltd),1
21395,Insulin biphasic isophane human pyr 40:60; 100 units/ml Injection,1
4198,Humulin m3 100unit/ml M3 injection (Eli Lilly and Company Ltd),1
43991,Humulin M3 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
35701,Insulin lispro biphasic 50/50 100units/ml suspension for injection 3ml pre-filled disposable devices,1
13277,Mixtard 50 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),1
28185,Insulin lispro biphasic 25/75 100units/ml suspension for injection 3ml cartridges,1
14505,Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials,1
9521,Pork Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),1
1588,Actrapid 100iu/ml Injection (Novo Nordisk Ltd),1
39006,Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
10175,Insulin isophane human 100units/ml suspension for injection 1.5ml cartridges,1
10259,Insulin glargine 100units/ml solution for injection 10ml vials,1
28588,Hypurin Bovine Isophane 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd),1
9341,Insulin biphasic isophane human prb 30:70; 100 units/ml Injection,1
5250,Insulin biphasic lispro human prb 25:75; 100 units/ml Injection,1
3550,Mixtard 40 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),1
36853,Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pen (Sanofi),1
15710,Insulin soluble human emp 100unit/ml Injection,1
