prodcode,prodname,other_hyper
21423,Cozaar-Comp 100mg/25mg tablets (Merck Sharp & Dohme Ltd),1
21502,Serpasil 100microgram Tablet (Novartis Pharmaceuticals UK Ltd),1
21749,HYDRALAZINE HCl 100 MG TAB,1
21873,Atenix Co 50 tablets (Ashbourne Pharmaceuticals Ltd),1
21938,Froop Co 5mg/40mg tablets (Ashbourne Pharmaceuticals Ltd),1
22466,SERPASIL,1
2255,Navispare 2.5mg/250microgram tablets (AMCo),1
22853,Reserpine 100micrograms tablet,1
22912,Bendroflumethiazide 2.5mg with Propanolol 80mg capsules,1
22923,Hydrochlorothiazide with amiloride 50mg with 5mg Tablet,1
23131,Bendroflumethiazide 5mg with Propanolol 160mg modified-release capsules,1
23134,Nadolol 40mg / Bendroflumethiazide 5mg tablets,1
23345,Hypercal 2mg Tablet (Carlton Laboratories),1
23380,Catapres 300microgram tablets (Boehringer Ingelheim Ltd),1
23456,Hydrochlorothiazide with valsartan 25mg with 160mg Tablet,1
23505,Adizem xl plus 150mg+12.5mg Modified-release capsule (Napp Pharmaceuticals Ltd),1
2362,Apresoline 25mg tablets (AMCo),1
23746,HYDRALAZINE HCl 10 MG TAB,1
23761,Methyldopa 250mg/5ml oral suspension,1
24008,Vasetic Tablet (Shire Pharmaceuticals Ltd),1
24196,Dopamet 250mg Tablet (Berk Pharmaceuticals Ltd),1
24268,Hydrochlorothiazide with valsartan 12.5mg with 80mg Tablet,1
24280,Totaretic 100mg+25mg Tablet (C P Pharmaceuticals Ltd),1
24484,Hydrochlorothiazide with valsartan 12.5mg with 160mg Tablet,1
24520,HYDROCHLOROTHIAZIDE /METOPROLOL TARTRATE 25 MG TAB,1
24632,Hydrochlorothiazide with losartan 25mg with 100mg Tablet,1
24832,Lasipressin Tablet (Hoechst UK Ltd),1
2493,Burinex A 5mg/1mg tablets (LEO Pharma),1
2495,Bumetanide with Amiloride tablets,1
25075,FRUSEMIDE 40MG/AMILORIDE HYD 5MG,1
25088,CATAPRES,1
25275,Metalpha 500mg Tablet (Ashbourne Pharmaceuticals Ltd),1
25289,Dopamet 500mg Tablet (Berk Pharmaceuticals Ltd),1
25363,Prestim tablets (Meda Pharmaceuticals Ltd),1
25382,Co-Diovan 160mg/25mg tablets (Novartis Pharmaceuticals UK Ltd),1
25393,Decaserpyl 10mg Tablet (Roussel Laboratories Ltd),1
25500,Hypertane 50 Tablet (Schwarz Pharma Ltd),1
25505,Spiro-co 50mg+50mg Tablet (IVAX Pharmaceuticals UK Ltd),1
25506,DIAZOXIDE 15 MG INJ,1
25645,Seominal Tablet (Sterling-Winthrop),1
25730,Timolol maleate with amiloride and hydrochlorothiazide Tablet,1
25787,TOTARETIC 100 TAB,1
25836,METHYLDOPA 200 MG TAB,1
25887,Eudemine 50mg tablets (Focus Pharmaceuticals Ltd),1
25965,Co-amilofruse 2.5mg/20mg tablets (Wockhardt UK Ltd),1
26219,Zida-co 5mg+50mg Tablet (Opus Pharmaceuticals Ltd),1
26220,Delvas Tablet (Berk Pharmaceuticals Ltd),1
26248,Tenchlor 100mg/25mg tablets (Teva UK Ltd),1
2630,Dixarit 25microgram tablets (Boehringer Ingelheim Ltd),1
2649,METHYLDOPA 250 MG CAP,1
26529,Furosemide with penbutolol Tablet,1
26731,TOTARETIC 50 TAB,1
26741,Totaretic 50mg+12.5mg Tablet (C P Pharmaceuticals Ltd),1
2680,Apresoline 50mg Tablet (Sovereign Medical Ltd),1
26919,Methyldopa 50mg/ml Injection,1
27086,NADOLOL 80MG/BENDROFLUAZIDE 5MG MG TAB,1
27520,Olmetec Plus 20mg/25mg tablets (Daiichi Sankyo UK Ltd),1
27602,SERPASIL,1
2772,Lasoride 5mg/40mg tablets (Sanofi),1
27883,CATAPRES 15 MCG/ML INJ,1
27894,CLONIDINE HYDROCHLORIDE,1
27946,Nadolol 80mg / Bendroflumethiazide 5mg tablets,1
28129,Co-amilofruse 5mg/40mg tablets (Teva UK Ltd),1
28157,Kalspare ls Tablet (Dominion Pharma),1
28177,Hydrochlorothiazide with atenolol and amiloride Capsule,1
28438,Triapin 2.5mg/2.5mg modified-release tablets (Sanofi),1
28738,Methyldopa with hydrochlorothiazide Tablet,1
2878,Clonidine 100microgram tablets,1
28790,CATAPRES,1
29187,Methoserpidine 10mg Tablet,1
29427,Hydrochlorothiazide with metoprolol tartrate 12.5mg with 100mg tablet,1
29529,Hydroflumethiazide with spironolactone 25mg+25mg Tablet,1
29570,Dopamet 125mg Tablet (Berk Pharmaceuticals Ltd),1
2961,Frusene 50mg/40mg tablets (Orion Pharma (UK) Ltd),1
29634,Olmetec Plus 20mg/12.5mg tablets (Daiichi Sankyo UK Ltd),1
2967,Minoxidil 5mg tablets,1
2968,Minoxidil 10mg tablets,1
29696,Methoserpidine with benzthiazide Tablet,1
2970,Minoxidil 2.5mg tablets,1
2982,Zestoretic 20- 20mg+12.5mg Tablet (AstraZeneca UK Ltd),1
29976,SOTAZIDE,1
30034,CHLOROTHIAZIDE / SPIRONOLACTONE 100 MG POW,1
30035,CHLOROTHIAZIDE 40MG /SPIRONOLACTONE 4MG POW,1
30127,Ismelin 10mg/ml Injection (Sovereign Medical Ltd),1
30129,Abicol Tablet (Knoll Ltd),1
30272,Benthiazide with Triamterene capsules,1
30293,Catapres 150micrograms/1ml solution for injection ampoules (Boehringer Ingelheim Ltd),1
30365,CHLOROTHIAZIDE/SPIRONOLACTONE/LACTOSE MG POW,1
30367,CHLOROTHIAZIDE 60MG / SPIRONOLACTONE 6MG POW,1
30368,CHLOROTHIAZIDE/SPIRONOLACTONE SACHETS 100 MG,1
3049,Methyldopa 125mg tablets,1
3050,Furosemide with triamterene 40mgwith50mg Tablet,1
30519,Amiloride with timolol with hydrochlorothiazide tablets,1
30592,CHLOROTHIAZIDE / SPIRONOLACTONE / GLUCOS 60 MG POW,1
3070,Methyldopa 500mg tablets,1
30773,Co-amilofruse 5mg+40mg Tablet (Berk Pharmaceuticals Ltd),1
31080,Guanethidine 10mg/1ml solution for injection ampoules,1
31131,Spiro-co 25mg+25mg Tablet (IVAX Pharmaceuticals UK Ltd),1
31150,Co-amilozide 5mg/50mg tablets (IVAX Pharmaceuticals UK Ltd),1
31220,Hydralazine 25mg tablets (A A H Pharmaceuticals Ltd),1
31417,Diazoxide 50mg/ml oral solution,1
31470,Tenchlor 50mg/12.5mg tablets (Teva UK Ltd),1
31708,Co-tenidone 50mg/12.5mg tablets (Actavis UK Ltd),1
31773,Co-amilofruse 5mg/40mg tablets (Wockhardt UK Ltd),1
31971,HYDRALAZINE 6.25 MG SYR,1
3203,Capozide LS Tablet (E R Squibb and Sons Ltd),1
32094,Co-tenidone 50mg/12.5mg tablets (A A H Pharmaceuticals Ltd),1
32166,Capto-co 25mg+50mg Tablet (IVAX Pharmaceuticals UK Ltd),1
32267,Diazoxide 300mg/20ml solution for injection ampoules,1
32913,Methyldopa 250mg tablets (Actavis UK Ltd),1
3293,Moduretic Oral solution (Bristol-Myers Squibb Pharmaceuticals Ltd),1
33093,Clonidine 25microgram tablets (Sandoz Ltd),1
33322,Moxonidine 200microgram tablets (Sandoz Ltd),1
33353,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd),1
33527,Co-amilofruse 5mg/40mg tablets (Mylan),1
33658,Co-amilofruse 5mg/40mg tablets (A A H Pharmaceuticals Ltd),1
33659,Hydrochlorothiazide with metoprolol tartrate 25mg with 200mg Modified-release tablet,1
338,Clonidine 25microgram tablets,1
34012,Co-tenidone 100mg/25mg tablets (IVAX Pharmaceuticals UK Ltd),1
34034,Co-tenidone 50mg/12.5mg tablets (IVAX Pharmaceuticals UK Ltd),1
34280,Co-amilofruse 2.5mg/20mg tablets (Sandoz Ltd),1
34367,Co-amilozide 2.5mg/25mg tablets (Wockhardt UK Ltd),1
34449,Co-tenidone 50mg/12.5mg tablets (Mylan),1
34622,Co-amilofruse 10mg/80mg tablets (Wockhardt UK Ltd),1
348,Moduretic Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd),1
34825,Co-tenidone 50mg/12.5mg tablets (Teva UK Ltd),1
34899,Co-tenidone 100mg/25mg tablets (A A H Pharmaceuticals Ltd),1
35096,Exforge 10mg/160mg tablets (Novartis Pharmaceuticals UK Ltd),1
35173,Valsartan 160mg with amlodipine 5mg tablets,1
35174,Valsartan 80mg with amlodipine 5mg tablets,1
35189,Amlodipine 10mg / Valsartan 160mg tablets,1
35196,CoAprovel 300mg/25mg tablets (Sanofi),1
3526,Amiloride with atenolol with hydrochlorothiazide capsules,1
35304,Valsartan 160mg with amlodipine 10mg tablets,1
35317,Exforge 5mg/80mg tablets (Novartis Pharmaceuticals UK Ltd),1
35329,Amlodipine 5mg / Valsartan 80mg tablets,1
35343,Amlodipine 5mg / Valsartan 160mg tablets,1
35380,Hydrochlorothiazide with olmesartan medoxomil 12.5mg with 20mg tablet,1
35481,Irbesartan 300mg / Hydrochlorothiazide 25mg tablets,1
35697,Exforge 5mg/160mg tablets (Novartis Pharmaceuticals UK Ltd),1
35960,Diazoxide 50mg/5ml oral suspension,1
36612,Sodium nitroprusside 50mg powder for solution for infusion vials,1
3691,Sotalol 160mg with hydrochlorothiazide 25mg tablet,1
3701,Amiloride 2.5mg / hydrochlorothiazide 25mg tablets,1
37294,Triamterene with chlortalidone 50mg + 25mg Tablet,1
37650,Losartan 100mg / Hydrochlorothiazide 12.5mg tablets,1
37710,Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd),1
37725,Co-tenidone 100mg/25mg tablets (Mylan),1
37747,Cozaar-Comp 100mg/12.5mg tablets (Merck Sharp & Dohme Ltd),1
37908,Coversyl Arginine Plus 5mg/1.25mg tablets (Servier Laboratories Ltd),1
3793,Co-amilofruse 10mg/80mg tablets,1
37978,Perindopril arginine 5mg / Indapamide 1.25mg tablets,1
38367,Hydrochlorothiazide with losartan 12.5mg with 100mg Tablet,1
38459,Telmisartan 80mg / Hydrochlorothiazide 25mg tablets,1
38889,MicardisPlus 80mg/25mg tablets (Boehringer Ingelheim Ltd),1
38901,Frumil LS 20mg/2.5mg tablets (Sanofi),1
38995,Zestoretic 20 tablets (AstraZeneca UK Ltd),1
3902,FRUSEMIDE 20MG/SPIRONOLACTONE 50MG MG CAP,1
39021,Hydrochlorothiazide with olmesartan medoxomil 25mg with 20mg tablet,1
39137,Zestoretic 10 tablets (AstraZeneca UK Ltd),1
39147,Carace 20 Plus tablets (Merck Sharp & Dohme Ltd),1
39227,Capozide LS 12.5mg/25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
39242,Carace 10 Plus tablets (Merck Sharp & Dohme Ltd),1
3962,TRIAMTERENE 50MG HYDROCHLOROTHIAZIDE25MG TAB,1
39807,Frumil 40mg/5mg tablets (Sanofi),1
39956,Diazoxide 250mg/5ml oral suspension,1
39984,Sevikar 20mg/5mg tablets (Daiichi Sankyo UK Ltd),1
40310,Moxonidine 200microgram tablets (Teva UK Ltd),1
40316,Olmesartan medoxomil 20mg / Amlodipine 5mg tablets,1
4034,Amiloride 5mg / hydrochlorothiazide 50mg/5ml solution,1
40639,Olmesartan medoxomil 40mg / Amlodipine 5mg tablets,1
40668,Olmesartan medoxomil 40mg / Amlodipine 10mg tablets,1
41203,Sevikar 40mg/10mg tablets (Daiichi Sankyo UK Ltd),1
41205,Sevikar 40mg/5mg tablets (Daiichi Sankyo UK Ltd),1
41533,Co-amilofruse 2.5mg/20mg tablets (Teva UK Ltd),1
41556,Co-amilozide 5mg/50mg tablets (Teva UK Ltd),1
41572,Co-tenidone 100mg/25mg tablets (Teva UK Ltd),1
41639,Hydralazine 50mg tablets (Actavis UK Ltd),1
41661,Methyldopa 250mg Tablet (C P Pharmaceuticals Ltd),1
41719,Co-amilofruse 5mg/40mg tablets (Actavis UK Ltd),1
41889,TRIAMTERENE 50MG HYDROCHLOROTHIAZIDE25MG,1
41892,METOPROLOL 100MG/HYDROCHLOROTHIAZ.12.5MG,1
41894,RESERPINE/BENDROFLUAZIDE 150 MCG TAB,1
41897,CO-BETALOC,1
4211,Furosemide with amiloride 20mg+2.5mg Tablet,1
42142,Moduretic 5mg/50mg tablets (Merck Sharp & Dohme Ltd),1
4215,Catapres 100microgram tablets (Boehringer Ingelheim Ltd),1
42677,Diazoxide 250mg/5ml oral solution,1
43322,Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets,1
43500,Hydralazine 25mg tablets (Actavis UK Ltd),1
43508,Co-amilofruse 5mg/40mg tablets (Sandoz Ltd),1
43531,Moxonidine 400microgram tablets (Sandoz Ltd),1
43915,Olmetec Plus 40mg/12.5mg tablets (Daiichi Sankyo UK Ltd),1
43988,Aldomet 250mg tablets (Aspen Pharma Trading Ltd),1
43989,Aldomet 500mg tablets (Aspen Pharma Trading Ltd),1
4406,Decaserpyl plus Tablet (Roussel Laboratories Ltd),1
4429,Trasidrex modified-release tablets (Mercury Pharma Group Ltd),1
4507,HYDRALAZINE HCl 12.5 MG TAB,1
4540,Cozaar-Comp 50mg/12.5mg tablets (Merck Sharp & Dohme Ltd),1
4542,Atenolol 50mg / Nifedipine 20mg modified-release capsules,1
45578,Clonidine 25microgram tablets (A A H Pharmaceuticals Ltd),1
45916,Hydroflumethiazide with spironolactone 50mg+50mg Tablet,1
4605,Moducren tablets (Merck Sharp & Dohme Ltd),1
46355,Sevikar HCT 20mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd),1
4661,Spironolactone 50mg / Furosemide 20mg capsules,1
46687,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 20mg + 5mg + 12.5mg Tablet,1
46715,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 10mg + 12.5mg Tablet,1
46792,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 12.5mg Tablet,1
46916,Co-amilozide 5mg/50mg tablets (A A H Pharmaceuticals Ltd),1
46952,Co-tenidone 100mg/25mg tablets (Actavis UK Ltd),1
47467,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 25mg Tablet,1
47573,Sevikar HCT 40mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd),1
47616,Sevikar HCT 40mg/10mg/12.5mg tablets (Daiichi Sankyo UK Ltd),1
47647,Co-amilofruse oral liquid,1
47727,Sevikar HCT 40mg/5mg/25mg tablets (Daiichi Sankyo UK Ltd),1
47804,Co-triamterzide 50mg/25mg tablets (A A H Pharmaceuticals Ltd),1
4796,Inderetic 80mg/2.5mg capsules (AstraZeneca UK Ltd),1
48039,Losartan 100mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd),1
48098,Perindopril arginine 4mg with Indapamide 1.25mg tablet,1
48189,Ismelin 10mg/1ml solution for injection ampoules (Amdipharm Plc),1
4873,Fru-Co 5mg/40mg tablets (Teva UK Ltd),1
48745,Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets,1
49684,Clonidine 100micrograms/24hours transdermal patches,1
4983,Atenolol with amiloride and hydrochlorothiazide capsules,1
4993,Moxonidine 200microgram tablets,1
504,Hydralazine 20mg powder for solution for injection ampoules,1
50607,Perindopril arginine 2mg with Indapamide 625 micrograms tablet,1
51018,Diazoxide 50mg/5ml oral solution,1
51258,Coversyl Arginine Plus 5mg/1.25mg tablets (DE Pharmaceuticals),1
5189,Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets,1
52145,Cyclopenthiazide 0.25mg with oxprenolol 160mg modified-release tablets,1
52189,Losartan 100mg / Hydrochlorothiazide 25mg tablets (A A H Pharmaceuticals Ltd),1
5220,Furosemide with amiloride 80mg+10mg Tablet,1
52555,Clonidine 50micrograms/5ml oral solution,1
52728,Beta-Adalat modified-release capsules (Lexon (UK) Ltd),1
52858,Co-Diovan 80mg/12.5mg tablets (Sigma Pharmaceuticals Plc),1
5289,Clonidine 250microgram modified-release capsules,1
53142,Clonidine 50micrograms/5ml oral suspension,1
53220,Sevikar HCT 40mg/10mg/25mg tablets (Daiichi Sankyo UK Ltd),1
5330,Corgaretic 40mg tablets (Sanofi-Synthelabo Ltd),1
5416,Co-triamterzide 50mg/25mg tablets,1
54201,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets (Almus Pharmaceuticals Ltd),1
54340,Diazoxide 10mg/5ml oral solution,1
54467,Clonidine 300micrograms/24hours transdermal patches,1
55050,CHLOROTHIAZIDE/SPIRONOLACTONE/LACT SACH 50 MG,1
55160,Cozaar-Comp 50mg/12.5mg tablets (Sigma Pharmaceuticals Plc),1
55358,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 10mg + 25mg Tablet,1
55399,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets (A A H Pharmaceuticals Ltd),1
55797,Clonidine 25micrograms/5ml oral solution,1
55989,Diazoxide 25mg/5ml oral solution,1
56,Co-amilofruse 5mg/40mg tablets,1
56157,Perindopril tosilate 5mg / Indapamide 1.25mg tablets,1
56204,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (Actavis UK Ltd),1
56244,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets (Tillomed Laboratories Ltd),1
56975,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (A A H Pharmaceuticals Ltd),1
5721,Co-tenidone 100mg/25mg tablets,1
5727,Amiloride 2.5mg / Cyclopenthiazide 250microgram tablets,1
573,Hydralazine 25mg tablets,1
57539,Zestoretic 10 tablets (Sigma Pharmaceuticals Plc),1
57796,Cozaar-Comp 50mg/12.5mg tablets (DE Pharmaceuticals),1
57908,Co-amilofruse 5mg/40mg tablets (Kent Pharmaceuticals Ltd),1
58090,Clonidine 75micrograms/5ml oral solution,1
581,Atenolol 50mg with Chlortalidone 12.5mg tablets,1
58529,Clonidine 200micrograms/24hours transdermal patches,1
59412,Co-amilofruse 5mg/40mg tablets (Waymade Healthcare Plc),1
59512,Hydralazine 50mg/5ml oral solution,1
60007,Generic Sevikar HCT 40mg/10mg/12.5mg tablets,1
60067,Perindopril erbumine 4mg / Amlodipine 5mg tablets,1
60089,Clonidine 25microgram tablets (Waymade Healthcare Plc),1
60136,Clonidine 100micrograms/5ml oral solution,1
60258,Co-amilofruse 2.5mg/20mg tablets (Aurobindo Pharma Ltd),1
60354,Co-amilozide 2.5mg/25mg tablets (Kent Pharmaceuticals Ltd),1
60684,Perindopril erbumine 4mg / Amlodipine 10mg tablets,1
60744,Perindopril erbumine 8mg / Amlodipine 5mg tablets,1
60780,Generic Sevikar HCT 20mg/5mg/12.5mg tablets,1
60898,Moxonidine 200microgram tablets (Mylan),1
61036,Physiotens 300microgram tablets (Actavis UK Ltd),1
61116,Hydralazine 50mg/5ml oral suspension,1
61256,Clonidine 5micrograms/5ml oral suspension,1
61710,Clonidine 25microgram tablets (Teva UK Ltd),1
61719,Beta-Adalat modified-release capsules (Waymade Healthcare Plc),1
62249,Co-amilozide 5mg/50mg tablets (Alliance Healthcare (Distribution) Ltd),1
62337,Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets (Actavis UK Ltd),1
62376,Actelsar HCT 80mg/12.5mg tablets (Actavis UK Ltd),1
62513,Methyldopa 250mg tablets (Sovereign Medical Ltd),1
62537,Co-tenidone 100mg/25mg tablets (DE Pharmaceuticals),1
6265,Diazoxide 50mg tablets,1
62700,Co-amilozide 5mg/50mg tablets (Phoenix Healthcare Distribution Ltd),1
62853,Moxonidine 200microgram tablets (A A H Pharmaceuticals Ltd),1
62911,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd),1
63149,Perindopril erbumine 8mg / Amlodipine 10mg tablets,1
6359,Zestoretic 10- 10mg+12.5mg Tablet (AstraZeneca UK Ltd),1
63652,Hydralazine Tablet,1
63890,MicardisPlus 80mg/12.5mg tablets (Waymade Healthcare Plc),1
63938,Moxonidine 300microgram tablets (Sandoz Ltd),1
63971,Clonidine 25microgram tablets (Sigma Pharmaceuticals Plc),1
64253,Hydralazine 5mg/5ml oral suspension,1
