prodcode,prodname,bb
19003,spironolactone/propranolol 50 mg tab,1
19055,chlortalidone 12.5mg with atenolol 50mg tablets,1
19068,labetalol 50mg/10ml solution for injection pre-filled syringes,1
19142,bendroflumethiazide 2.5mg with timolol maleate 10mg tablets,1
19172,atenolol 25mg tablets (ivax pharmaceuticals uk ltd),1
19178,bisoprolol 10mg tablets (ranbaxy (uk) ltd),1
19182,atenolol 50mg tablets (ivax pharmaceuticals uk ltd),1
19191,atenolol 100mg tablets (teva uk ltd),1
19200,bisoprolol 5mg tablets (ivax pharmaceuticals uk ltd),1
19202,carvedilol 6.25mg tablets (teva uk ltd),1
19437,eucardic 25mg tablets (roche products ltd),1
19853,cardicor 3.75mg tablets (merck serono ltd),1
19858,cardicor 10mg tablets (merck serono ltd),1
19998,trandate 100mg/20ml solution for injection ampoules (focus pharmaceuticals ltd),1
20012,visken 15mg tablet (sovereign medical ltd),1
20082,lopresor sr 200mg tablets (recordati pharmaceuticals ltd),1
20093,metoprolol 200mg modified-release / hydrochlorothiazide 25mg tablets,1
20169,practolol 2mg/ml injection,1
20468,half beta-prograne 80mg modified-release capsules (tillomed laboratories ltd),1
20502,atenix 100 tablets (ashbourne pharmaceuticals ltd),1
20728,atenamin 25mg tablet (opd pharm),1
20813,betaloc s.a.,1
21025,prestim forte tablet (leo pharma),1
21133,atenamin 50mg tablet (opd pharm),1
21182,hydrochlorothiazide with timolol and amiloride 25mg with 10mg with 2.5mg tablet,1
21838,propanix 80mg tablet (ashbourne pharmaceuticals ltd),1
21839,berkolol 80mg tablet (berk pharmaceuticals ltd),1
21866,berkolol 40mg tablet (berk pharmaceuticals ltd),1
21873,atenix co 50 tablets (ashbourne pharmaceuticals ltd),1
21885,oxyprenix sr 160mg tablets,1
21905,bipranix 10mg tablets (ashbourne pharmaceuticals ltd),1
21966,bipranix 5mg tablets (ashbourne pharmaceuticals ltd),1
22151,metoprolol 100mg/chlorthalidone 12.5mg,1
22208,half propanix la 80mg modified-release capsule (ashbourne pharmaceuticals ltd),1
22634,propranolol 10 mg sus,1
22793,labrocol 200mg tablet (lagap),1
22796,carvedilol 3.125 mg,1
22912,bendroflumethiazide 2.5mg with propanolol 80mg capsules,1
23131,bendroflumethiazide 5mg with propanolol 160mg modified-release capsules,1
23134,nadolol 40mg / bendroflumethiazide 5mg tablets,1
23326,betadur cr 160mg modified-release capsule (monmouth pharmaceuticals ltd),1
23587,sloprolol 160mg capsule (c p pharmaceuticals ltd),1
23598,sotalol hydrochloride s/r,1
23604,propranolol s/r,1
24083,bisoprolol 5mg tablets (teva uk ltd),1
24094,trasicor 40mg tablets (amdipharm plc),1
24191,antipressan 50mg tablets (teva uk ltd),1
24195,antipressan 100mg tablets (teva uk ltd),1
24218,berkolol 160mg tablet (berk pharmaceuticals ltd),1
24280,totaretic 100mg+25mg tablet (c p pharmaceuticals ltd),1
24378,betaloc s.a. (calendar pack),1
24461,betaloc i.v. 5mg/5ml solution for injection ampoules (astrazeneca uk ltd),1
24520,hydrochlorothiazide /metoprolol tartrate 25 mg tab,1
24635,sotacor 10mg/ml injection (bristol-myers squibb pharmaceuticals ltd),1
24677,atenolol,1
24832,lasipressin tablet (hoechst uk ltd),1
25037,atenolol,1
25359,rapranol sr 160mg capsules (ranbaxy (uk) ltd),1
25363,prestim tablets (meda pharmaceuticals ltd),1
25367,rapranol sr 80mg capsules (ranbaxy (uk) ltd),1
25462,clopamide 5mg with pindolol 10mg tablets,1
25644,apsolox 80mg tablet (approved prescription services ltd),1
25730,timolol maleate with amiloride and hydrochlorothiazide tablet,1
25764,pindolol 10mg/clopamide 5mg,1
25818,propranolol 30 mg sus,1
26105,propranolol paed 4 mg tab,1
26211,antipressan 25mg tablets (teva uk ltd),1
26228,propanix la 160mg modified-release capsule (ashbourne pharmaceuticals ltd),1
26229,beta-prograne 160mg modified-release capsules (tillomed laboratories ltd),1
26248,tenchlor 100mg/25mg tablets (teva uk ltd),1
26255,lopranol la 160mg capsule (opus pharmaceuticals ltd),1
26529,furosemide with penbutolol tablet,1
26741,totaretic 50mg+12.5mg tablet (c p pharmaceuticals ltd),1
26788,propranolol 2.5 mg eli,1
26895,syprol 10mg/5ml oral solution (rosemont pharmaceuticals ltd),1
26922,brevibloc premixed 100mg/10ml solution for injection vials (baxter healthcare ltd),1
27036,propranolol powders 5 mg pow,1
27086,nadolol 80mg/bendrofluazide 5mg mg tab,1
27357,oxprenolol 40mg tablet (actavis uk ltd),1
27486,propranolol 1mg/1ml solution for injection ampoules,1
27700,propranolol 40mg tablets (actavis uk ltd),1
27719,metoros ls 95mg tablet (geigy pharmaceuticals),1
27727,sotalol 2mg/ml injection,1
27946,nadolol 80mg / bendroflumethiazide 5mg tablets,1
27964,apsolol 40mg tablet (approved prescription services ltd),1
28048,angilol 10mg tablet (ddsa pharmaceuticals ltd),1
28128,propranolol 80mg modified-release capsule (actavis uk ltd),1
28177,hydrochlorothiazide with atenolol and amiloride capsule,1
28493,metoprolol fumarate 95 mg tab,1
28700,cartrol 10mg tablet (novartis consumer health uk ltd),1
28788,half propatard la 80mg modified-release capsule (galen ltd),1
28996,bedranol sr 160mg capsules (sandoz ltd),1
29180,trasicor 80mg tablets (amdipharm plc),1
29230,slow-pren 160mg tablet (ivax pharmaceuticals uk ltd),1
29368,atenolol 25mg tablets (teva uk ltd),1
29398,atenamin 100mg tablet (opd pharm),1
29427,hydrochlorothiazide with metoprolol tartrate 12.5mg with 100mg tablet,1
29610,betim 10mg tablets (meda pharmaceuticals ltd),1
29762,mepranix 50mg tablet (ashbourne pharmaceuticals ltd),1
29763,propanix 160mg tablet (ashbourne pharmaceuticals ltd),1
29803,propranolol 3 mg eli,1
29827,carteolol hcl 10mg tablets,1
29976,sotazide,1
29998,metoros 190mg tablet (novartis pharmaceuticals uk ltd),1
30400,mepranix 100mg tablet (ashbourne pharmaceuticals ltd),1
30519,amiloride with timolol with hydrochlorothiazide tablets,1
30541,esmolol hcl 250mg/ml concentrate solution for infusion,1
30636,vasaten 50mg tablet (shire pharmaceuticals ltd),1
30770,labetalol 200mg tablets (a a h pharmaceuticals ltd),1
31214,propranolol 80mg tablets (mylan ltd),1
31470,tenchlor 50mg/12.5mg tablets (teva uk ltd),1
31536,atenolol 25mg tablets (kent pharmaceuticals ltd),1
31708,co-tenidone 50mg/12.5mg tablets (actavis uk ltd),1
31776,propranolol 40mg tablets (mylan ltd),1
31833,angilol 80mg tablet (ddsa pharmaceuticals ltd),1
31934,atenolol 100mg tablets (ivax pharmaceuticals uk ltd),1
32094,co-tenidone 50mg/12.5mg tablets (a a h pharmaceuticals ltd),1
32114,bisoprolol 5mg tablets (mylan ltd),1
32135,brevibloc concentrate 2.5g/10ml solution for infusion ampoules (baxter healthcare ltd),1
32162,propranolol 80mg modified-release capsule (lagap),1
32470,propranolol 1 mg liq,1
32552,congescor 2.5mg tablets (tillomed laboratories ltd),1
32630,vivacor 10mg tablets (lexon (uk) ltd),1
32787,visken 15mg tablets (amco),1
32836,metoprolol 50mg tablets (mylan ltd),1
33079,atenolol 100mg tablets (mylan ltd),1
33085,atenolol 100mg tablets (a a h pharmaceuticals ltd),1
33092,atenolol 50mg tablets (a a h pharmaceuticals ltd),1
33184,atenolol 100mg tablets (wockhardt uk ltd),1
33374,carvedilol 12.5mg tablets (genus pharmaceuticals ltd),1
33376,probeta la 160mg capsule (trinity pharmaceuticals ltd),1
33569,oxprenolol sr 160mg modified-release tablet (hillcross pharmaceuticals ltd),1
33578,sotacor 40mg/4ml solution for injection ampoules (bristol-myers squibb pharmaceuticals ltd),1
33602,slo-pro 160mg capsules (mylan ltd),1
33644,propranolol 80mg tablets (a a h pharmaceuticals ltd),1
33650,atenolol 50mg tablets (mylan ltd),1
33657,atenolol 25mg tablets (a a h pharmaceuticals ltd),1
33659,hydrochlorothiazide with metoprolol tartrate 25mg with 200mg modified-release tablet,1
33836,apsolol 160mg tablet (approved prescription services ltd),1
33839,bisoprolol 10mg tablets (actavis uk ltd),1
33850,atenolol 50mg tablets (actavis uk ltd),1
33909,congescor 1.25mg tablets (tillomed laboratories ltd),1
34012,co-tenidone 100mg/25mg tablets (ivax pharmaceuticals uk ltd),1
34034,co-tenidone 50mg/12.5mg tablets (ivax pharmaceuticals uk ltd),1
34092,metoprolol 100mg tablets (teva uk ltd),1
34094,metoprolol 50mg tablets (a a h pharmaceuticals ltd),1
34125,metoprolol 100mg tablets (a a h pharmaceuticals ltd),1
34171,labetalol 100mg tablet (c p pharmaceuticals ltd),1
34177,labetalol 100mg tablets (a a h pharmaceuticals ltd),1
34185,propranolol la 80mg modified-release capsule (approved prescription services ltd),1
34188,labetalol 200mg tablet (celltech pharma europe ltd),1
34208,propranolol sr 160mg modified-release capsule (c p pharmaceuticals ltd),1
34214,propranolol 160mg tablets (actavis uk ltd),1
34265,atenolol 50mg tablets (sandoz ltd),1
34365,atenolol 50mg tablets (teva uk ltd),1
34371,sotalol 40mg tablets (a a h pharmaceuticals ltd),1
34378,propranolol 10mg tablets (a a h pharmaceuticals ltd),1
34407,metoprolol 50mg tablets (teva uk ltd),1
34430,metoprolol 50mg tablets (actavis uk ltd),1
34443,atenolol 50mg tablets (wockhardt uk ltd),1
34449,co-tenidone 50mg/12.5mg tablets (mylan ltd),1
34492,atenolol 25mg tablets (mylan ltd),1
34501,carvedilol 12.5mg tablets (actavis uk ltd),1
34509,metoprolol 100mg tablets (mylan ltd),1
34520,sotalol 80mg tablets (mylan ltd),1
34575,atenolol 25mg tablets (wockhardt uk ltd),1
34584,metoprolol 50mg tablets (ivax pharmaceuticals uk ltd),1
34585,atenolol 25mg tablets (sandoz ltd),1
34600,sotalol 40mg tablets (teva uk ltd),1
34640,sotalol 40mg tablet (tillomed laboratories ltd),1
34690,sotalol 80mg tablets (sandoz ltd),1
34695,atenolol 50mg tablets (kent pharmaceuticals ltd),1
34740,carvedilol 6.25mg tablets (actavis uk ltd),1
34741,carvedilol 3.125mg tablets (ivax pharmaceuticals uk ltd),1
34754,atenolol 100mg tablets (sandoz ltd),1
34783,propranolol 10mg tablets (actavis uk ltd),1
34804,propranolol 10mg tablets (teva uk ltd),1
34821,bisoprolol 10mg tablets (mylan ltd),1
34825,co-tenidone 50mg/12.5mg tablets (teva uk ltd),1
34854,metoprolol 100mg tablets (actavis uk ltd),1
34867,propranolol 80mg capsule (ivax pharmaceuticals uk ltd),1
34868,propranolol 40mg tablets (teva uk ltd),1
34882,atenolol 50mg tablet (berk pharmaceuticals ltd),1
34884,propranolol 160mg modified-release capsule (sandoz ltd),1
34890,metoprolol 50mg tablet (berk pharmaceuticals ltd),1
34899,co-tenidone 100mg/25mg tablets (a a h pharmaceuticals ltd),1
34925,metoprolol 50mg tablets (sandoz ltd),1
34945,propranolol 160mg modified-release capsule (lagap),1
34949,propranolol 160mg modified-release capsule (actavis uk ltd),1
34963,bisoprolol 5mg tablets (actavis uk ltd),1
34976,atenolol 25mg tablets (tillomed laboratories ltd),1
35054,celectol 200mg tablets (zentiva),1
35062,trasicor 20mg tablets (amdipharm plc),1
35695,visken 5mg tablets (amco),1
35710,sotalol 25mg/5ml oral suspension,1
35778,labrocol 100mg tablet (lagap),1
35938,propranolol 80mg modified-release capsules (a a h pharmaceuticals ltd),1
35940,celectol 400mg tablets (zentiva),1
36261,atenolol 50mg tablets (tillomed laboratories ltd),1
36576,propranolol 10mg tablets (mylan ltd),1
36603,propranolol sr 160mg modified-release capsule (hillcross pharmaceuticals ltd),1
37118,bisoprolol 2.5mg tablets (a a h pharmaceuticals ltd),1
37725,co-tenidone 100mg/25mg tablets (mylan ltd),1
37837,bisoprolol 2.5mg tablet (teva uk ltd),1
38370,labetalol 100mg/20ml solution for injection ampoules,1
38433,propranolol 50mg/5ml oral solution (rosemont pharmaceuticals ltd),1
38498,sotalol 40mg/4ml solution for injection ampoules,1
38991,bisoprolol 7.5mg tablets (a a h pharmaceuticals ltd),1
39233,propranolol 80mg modified-release capsules (teva uk ltd),1
39423,sotalol 80mg tablets (a a h pharmaceuticals ltd),1
39646,bisoprolol 0.625mg/5ml oral solution,1
39819,esmolol 2.5g/250ml infusion bags,1
39846,vivacor 5mg tablets (lexon (uk) ltd),1
40167,metoprolol 100mg tablets (ivax pharmaceuticals uk ltd),1
40240,labetalol 400mg tablets (a a h pharmaceuticals ltd),1
40241,propranolol la 160mg capsule (approved prescription services ltd),1
40761,nebivolol 2.5mg tablets,1
41555,propranolol 40mg tablets (a a h pharmaceuticals ltd),1
41572,co-tenidone 100mg/25mg tablets (teva uk ltd),1
41591,bisoprolol 10mg tablets (teva uk ltd),1
41740,celiprolol 200mg tablets (teva uk ltd),1
41827,labetalol 100mg tablets (mylan ltd),1
41892,metoprolol 100mg/hydrochlorothiaz.12.5mg,1
41897,co-betaloc,1
42152,syprol 50mg/5ml oral solution (rosemont pharmaceuticals ltd),1
42795,celiprolol 200mg tablets (mylan ltd),1
43251,bisoprolol 1.25mg tablets (mylan ltd),1
43525,propranolol 10mg tablets (ivax pharmaceuticals uk ltd),1
43549,sotalol 40mg tablets (ivax pharmaceuticals uk ltd),1
43564,bisoprolol 5mg tablet (pliva pharma ltd),1
44000,bisoprolol 2.5mg/5ml oral suspension,1
44083,labetalol 200mg tablets (actavis uk ltd),1
44808,nebivolol 2.5mg tablets (a a h pharmaceuticals ltd),1
44858,atenolol 25mg tablets (actavis uk ltd),1
45250,labetalol 400mg tablets (sandoz ltd),1
45289,metoprolol tartrate oral solution,1
45297,propranolol 40mg tablets (ivax pharmaceuticals uk ltd),1
45309,acebutolol 400mg tablets (a a h pharmaceuticals ltd),1
45343,propranolol sr 80mg modified-release capsule (c p pharmaceuticals ltd),1
45494,propranolol 10mg tablets (almus pharmaceuticals ltd),1
45765,syprol 40mg/5ml oral solution (rosemont pharmaceuticals ltd),1
45877,beta-prograne 160mg modified-release capsules (teva uk ltd),1
46363,half beta-prograne 80mg modified-release capsules (teva uk ltd),1
46493,propranolol 15 mg syr,1
46614,lopresor 50mg tablets (recordati pharmaceuticals ltd),1
46740,lopresor 100mg tablets (recordati pharmaceuticals ltd),1
46908,atenolol 100mg tablets (kent pharmaceuticals ltd),1
46931,atenolol 100mg tablets (actavis uk ltd),1
46935,carvedilol 3.125mg tablets (actavis uk ltd),1
46936,carvedilol 3.125mg tablets (a a h pharmaceuticals ltd),1
46952,co-tenidone 100mg/25mg tablets (actavis uk ltd),1
47041,bisoprolol 2.5mg tablets (mylan ltd),1
47107,carvedilol 5mg/5ml oral suspension,1
47300,nebivolol 2.5mg tablets (glenmark pharmaceuticals europe ltd),1
47536,metoprolol tartrate 12.5mg/5ml oral suspension,1
47543,half beta-prograne 80mg modified-release capsules (actavis uk ltd),1
47673,labetalol 400mg tablet (approved prescription services ltd),1
47674,labetalol 200mg tablet (c p pharmaceuticals ltd),1
47833,bedranol sr 80mg capsules (almus pharmaceuticals ltd),1
47870,atenolol 25mg tablets (almus pharmaceuticals ltd),1
47907,bedranol sr 160mg capsules (almus pharmaceuticals ltd),1
48682,propranolol 50mg/5ml oral solution sugar free,1
48745,timolol 10mg / amiloride 2.5mg / hydrochlorothiazide 25mg tablets,1
49142,carvedilol 3.125mg/5ml oral suspension,1
49863,propranolol 5mg/5ml oral solution sugar free,1
49953,atenolol 25mg tablets (bristol laboratories ltd),1
50224,congescor 2.5mg tablets (teva uk ltd),1
50300,congescor 1.25mg tablets (teva uk ltd),1
50403,bisoprolol 1.25mg tablet (teva uk ltd),1
50514,bisoprolol 2.5mg tablets (chanelle medical uk ltd),1
50702,atenolol 25mg tablets (alliance healthcare (distribution) ltd),1
51447,metoprolol 12.5mg/5ml oral suspension,1
51492,sotalol 25mg/5ml oral solution,1
51528,bisoprolol 1.25mg tablets (actavis uk ltd),1
51643,atenolol 25mg/5ml oral solution sugar free (alliance healthcare (distribution) ltd),1
51998,atenolol 25mg tablets (strides shasun (uk) ltd),1
52136,bedranol sr 160mg capsule (lagap),1
52145,cyclopenthiazide 0.25mg with oxprenolol 160mg modified-release tablets,1
52310,atenolol 25mg tablets (crescent pharma ltd),1
52500,atenolol 50mg tablets (almus pharmaceuticals ltd),1
52548,bisoprolol 1.25mg tablets (almus pharmaceuticals ltd),1
52609,inderal la 160mg capsules (sigma pharmaceuticals plc),1
52611,bisoprolol 10mg/5ml oral solution,1
52635,bisoprolol 5mg tablets (alliance healthcare (distribution) ltd),1
52686,bisoprolol 2.5mg/5ml oral solution,1
52728,beta-adalat modified-release capsules (lexon (uk) ltd),1
52777,propranolol 40mg tablets (kent pharmaceuticals ltd),1
53177,propranolol oral solution,1
53204,atenolol 50mg tablets (alliance healthcare (distribution) ltd),1
53215,atenolol 50mg tablets (bristol laboratories ltd),1
53334,bisoprolol 10mg tablets (a a h pharmaceuticals ltd),1
53414,atenolol 50mg tablets (accord healthcare ltd),1
53664,bisoprolol 2.5mg tablets (sandoz ltd),1
53802,atenolol 25mg tablets (sigma pharmaceuticals plc),1
53826,atenolol 25mg tablets (boston healthcare ltd),1
53885,bisoprolol 1.25mg tablets (a a h pharmaceuticals ltd),1
53916,bisoprolol 2.5mg tablets (almus pharmaceuticals ltd),1
54106,carvedilol 1.5mg/5ml oral suspension,1
54297,propranolol 50mg/5ml oral solution,1
54479,bisoprolol 1.25mg tablets (alliance healthcare (distribution) ltd),1
54487,nebivolol 2.5mg tablets (sigma pharmaceuticals plc),1
54542,atenolol 25mg tablets (zanza laboratories ltd),1
54623,beta-prograne 160mg modified-release capsules (actavis uk ltd),1
54752,atenolol 50mg tablets (strides shasun (uk) ltd),1
55228,propranolol 40mg tablets (boston healthcare ltd),1
55298,bisoprolol 10mg tablets (sigma pharmaceuticals plc),1
55416,propranolol 40mg tablets (almus pharmaceuticals ltd),1
55778,atenolol 50mg tablets (phoenix healthcare distribution ltd),1
55791,bisoprolol 3.75mg tablets (actavis uk ltd),1
55849,propranolol 160mg tablets (mylan ltd),1
55853,pindolol 15mg tablet (hillcross pharmaceuticals ltd),1
55929,bisoprolol 5mg tablets (accord healthcare ltd),1
55949,propranolol 40mg/5ml oral solution,1
55979,metoprolol 25mg/5ml oral suspension,1
56173,half beta-prograne 80mg modified-release capsules (actavis uk ltd),1
56240,bisoprolol 3.75mg tablets (sandoz ltd),1
