medcode,readterm,cancer
59755,Hodgkin's disease NOS of intrathoracic lymph nodes,1
99012,Hodgkin's disease NOS of lymph nodes inguinal region and leg,1
91900,Hodgkin's disease NOS of lymph nodes of axilla and arm,1
59778,"Hodgkin's disease NOS of lymph nodes of head, face and neck",1
97746,Hodgkin's disease NOS of lymph nodes of multiple sites,1
94279,Hodgkin's disease NOS of spleen,1
61662,"Hodgkin's disease NOS, unspecified site",1
67703,"Hodgkin's disease, lymphocytic depletion",1
101530,"Hodgkin's disease, lymphocytic depletion NOS",1
101715,"Hodgkin's disease, lymphocytic depletion of spleen",1
38939,"Hodgkin's disease, lymphocytic-histiocytic predominance",1
49605,"Hodgkin's disease, mixed cellularity",1
94005,"Hodgkin's disease, mixed cellularity NOS",1
97863,"Hodgkin's disease, mixed cellularity of unspecified site",1
29178,"Hodgkin's disease, nodular sclerosis",1
63054,"Hodgkin's disease, nodular sclerosis NOS",1
57225,"Hodgkin's disease, nodular sclerosis of unspecified site",1
44196,Hodgkin's granuloma,1
98909,"Hodgkin's granuloma of lymph nodes of head, face and neck",1
63625,Hodgkin's lymphocytic depletion lymph nodes axilla and arm,1
95049,Hodgkin's lymphocytic depletion of unspecified site,1
58684,Hodgkin's mixed cellularity of intrathoracic lymph nodes,1
94407,"Hodgkin's mixed cellularity of lymph nodes head, face, neck",1
55303,"Hodgkin's nodular sclerosis of head, face and neck",1
61149,Hodgkin's nodular sclerosis of intra-abdominal lymph nodes,1
67506,Hodgkin's nodular sclerosis of intrathoracic lymph nodes,1
65483,Hodgkin's nodular sclerosis of lymph nodes of axilla and arm,1
19140,Hodgkin's nodular sclerosis of lymph nodes of multiple sites,1
65489,Hodgkin's paragranuloma,1
98840,Hodgkin's paragranuloma of intra-abdominal lymph nodes,1
100423,"Hodgkin's paragranuloma of lymph nodes of head, face, neck",1
64036,Hodgkin's sarcoma,1
68039,Hodgkin's sarcoma of lymph nodes of axilla and upper limb,1
93951,"Hodgkin's, lymphocytic-histiocytic pred inguinal and leg",1
73532,"Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node",1
95338,"Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes",1
92245,"Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes",1
68330,"Hodgkin's, lymphocytic-histiocytic pred of head, face, neck",1
29876,"Hodgkin's, lymphocytic-histiocytic predominance NOS",1
71142,"Hodgkin's, lymphocytic-histiocytic predominance unspec site",1
7978,Hypernephroma,1
70716,Immunoproliferative neoplasm,1
43450,Immunoproliferative neoplasm or myeloma NOS,1
43552,Kahler's disease,1
50290,Kaposi's sarcoma of lymph nodes,1
65466,Kaposi's sarcoma of multiple organs,1
37549,Kaposi's sarcoma of palate,1
104128,Kaposi's sarcoma of soft tissue,1
49525,"Kaposi's sarcoma, unspecified",1
46042,Lambda light chain myeloma,1
34926,Letterer-Siwe disease,1
47204,Letterer-Siwe disease NOS,1
102158,Letterer-Siwe disease of intrathoracic lymph nodes,1
54083,Letterer-Siwe disease of lymph nodes of multiple sites,1
102715,Letterer-Siwe disease of unspecified sites,1
4250,Leukaemia NOS,1
25191,Leukaemia of unspecified cell type,1
65123,Leukaemic reticuloend of intra-abdominal lymph nodes,1
5137,Leukaemic reticuloendotheliosis,1
27330,Leukaemic reticuloendotheliosis,1
73777,Leukaemic reticuloendotheliosis NOS,1
65122,Leukaemic reticuloendotheliosis of unspecified sites,1
4403,Liver metastases,1
2587,Lung cancer,1
7830,Lymph node metastases,1
4222,Lymphatic leukaemia,1
104412,Lymphoblastic (diffuse) lymphoma,1
57737,Lymphoepithelioid lymphoma,1
95792,Lymphoid and histiocytic malignancy NOS,1
19372,Lymphoid leukaemia,1
38914,Lymphoid leukaemia NOS,1
27416,Lymphosarcoma,1
63723,Lymphosarcoma NOS,1
41369,Lymphosarcoma and reticulosarcoma,1
72197,Lymphosarcoma cell leukaemia,1
64670,Lymphosarcoma of intra-abdominal lymph nodes,1
62380,Lymphosarcoma of intrathoracic lymph nodes,1
71238,"Lymphosarcoma of lymph nodes of head, face and neck",1
100352,Lymphosarcoma of lymph nodes of inguinal region and leg,1
103245,Lymphosarcoma of spleen,1
71625,Lymphosarcoma of unspecified site,1
39531,"Malig neo, overlapping lesion of heart, mediastinum & pleura",1
24456,"Malig neop auditory tube, middle ear and mastoid air cells",1
73537,"Malig neop auditory tube, middle ear, mastoid air cells NOS",1
73718,"Malig neop connective and soft tissue head, face, neck NOS",1
90546,Malig neop connective and soft tissue hip and leg NOS,1
54965,Malig neop connective and soft tissue of popliteal space,1
65233,Malig neop connective and soft tissue other specified site,1
53989,Malig neop connective and soft tissue upper limb/shoulder,1
98813,"Malig neop eyeball excl conjunctiva, cornea, retina, choroid",1
26652,"Malig neop nasal cavities, middle ear and accessory sinuses",1
18608,"Malig neop of bone, connective tissue, skin and breast",1
41011,"Malig neop of bone, connective tissue, skin and breast NOS",1
19389,"Malig neop of bone, connective tissue, skin and breast OS",1
43475,"Malig neop of connective and soft tissue head, face and neck",1
60247,Malig neop of connective and soft tissue of abdomen NOS,1
66488,Malig neop of connective and soft tissue of abdominal wall,1
66088,Malig neop of connective and soft tissue of hip and leg,1
67324,Malig neop of connective and soft tissue of inguinal region,1
30542,Malig neop of connective and soft tissue of lower leg,1
58836,Malig neop of connective and soft tissue of pelvis NOS,1
98408,Malig neop of connective and soft tissue of thorax NOS,1
44805,Malig neop of connective and soft tissue thigh and upper leg,1
57471,Malig neop of connective and soft tissue trunk unspecified,1
64195,Malig neop of endocrine gland or related structure NOS,1
13559,Malig neop of kidney and other unspecified urinary organs,1
4555,Malig neop of other and unspecified female genital organs,1
65458,Malig neop of other and unspecified parts of nervous system,1
30511,Malig neop of other endocrine glands and related structures,1
100232,"Malig neop of other site of heart, thymus and mediastinum",1
34075,Malig neop of respiratory tract and intrathoracic organs,1
65880,Malig neop of scapula and long bones of upper arm NOS,1
65793,"Malig neop of upper respiratory tract, part unspecified",1
11009,Malig neop oth/ill-defined sites digestive tract/peritoneum,1
96971,"Malig neop other site nasal cavity, middle ear and sinuses",1
55659,"Malig neop other site rectum, rectosigmoid junction and anus",1
46114,"Malig neop other/ill-defined sites lip, oral cavity, pharynx",1
44356,Malig neop other/ill-defined sites resp/intrathoracic organs,1
59718,Malig neop pituitary gland or craniopharyngeal duct NOS,1
24235,Malig neopl peripheral nerves and autonomic nervous system,1
53504,"Malig neopl, overlap lesion brain & other part of CNS",1
94272,Malig neoplasm of connective and soft tissues of lumb spine,1
104139,Malig neoplasm of connective and soft tissues of thor spine,1
8154,Malignant ascites,1
44267,Malignant histiocytosis,1
58871,Malignant histiocytosis NOS,1
65642,Malignant histiocytosis of intra-abdominal lymph nodes,1
94415,"Malignant histiocytosis of lymph nodes head, face and neck",1
69497,Malignant histiocytosis of unspecified site,1
58962,Malignant immunoproliferative small intestinal disease,1
12335,Malignant lymphoma NOS,1
15027,Malignant lymphoma NOS,1
42579,Malignant lymphoma NOS of intra-abdominal lymph nodes,1
71262,Malignant lymphoma NOS of intrapelvic lymph nodes,1
72725,Malignant lymphoma NOS of intrathoracic lymph nodes,1
63105,Malignant lymphoma NOS of lymph node inguinal region and leg,1
34089,Malignant lymphoma NOS of lymph nodes of axilla and arm,1
50696,"Malignant lymphoma NOS of lymph nodes of head, face and neck",1
15504,Malignant lymphoma NOS of lymph nodes of multiple sites,1
60092,Malignant lymphoma NOS of spleen,1
57427,Malignant lymphoma NOS of unspecified site,1
17887,Malignant lymphoma otherwise specified,1
89657,Malignant mast cell tumour NOS,1
15036,Malignant mast cell tumours,1
42714,Malignant melanoma of ankle,1
59061,Malignant melanoma of auricle (ear),1
49814,Malignant melanoma of axilla,1
43463,Malignant melanoma of back,1
32768,Malignant melanoma of breast,1
53629,Malignant melanoma of buttock,1
51209,Malignant melanoma of chest wall,1
71136,Malignant melanoma of chin,1
57260,Malignant melanoma of ear and external auricular canal,1
73744,Malignant melanoma of ear and external auricular canal NOS,1
102145,Malignant melanoma of external auditory meatus,1
41278,Malignant melanoma of external surface of cheek,1
45139,Malignant melanoma of external surface of nose,1
47094,Malignant melanoma of eyebrow,1
54632,Malignant melanoma of eyelid including canthus,1
67806,Malignant melanoma of face NOS,1
25602,Malignant melanoma of finger,1
41490,Malignant melanoma of foot,1
45755,Malignant melanoma of fore-arm,1
68133,Malignant melanoma of forehead,1
53369,Malignant melanoma of great toe,1
34259,Malignant melanoma of groin,1
62475,Malignant melanoma of hand,1
61246,Malignant melanoma of heel,1
73536,Malignant melanoma of hip,1
54305,Malignant melanoma of knee,1
70637,Malignant melanoma of lip,1
37872,Malignant melanoma of lower leg,1
46255,Malignant melanoma of lower limb and hip,1
64327,Malignant melanoma of lower limb or hip NOS,1
45306,Malignant melanoma of neck,1
47252,Malignant melanoma of other and unspecified parts of face,1
42153,Malignant melanoma of other specified skin site,1
95629,Malignant melanoma of perineum,1
39878,Malignant melanoma of popliteal fossa area,1
55881,Malignant melanoma of scalp,1
65625,Malignant melanoma of scalp and neck,1
99257,Malignant melanoma of scalp and neck NOS,1
50505,Malignant melanoma of shoulder,1
865,Malignant melanoma of skin,1
28556,Malignant melanoma of skin NOS,1
58958,Malignant melanoma of temple,1
51873,Malignant melanoma of thigh,1
63997,Malignant melanoma of thumb,1
36899,Malignant melanoma of toe,1
38689,Malignant melanoma of trunk (excluding scrotum),1
45760,"Malignant melanoma of trunk, excluding scrotum, NOS",1
43715,Malignant melanoma of umbilicus,1
54685,Malignant melanoma of upper arm,1
65164,Malignant melanoma of upper limb and shoulder,1
55292,Malignant melanoma of upper limb or shoulder NOS,1
57248,"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect",1
15711,Malignant neoplasm cerebrum (excluding lobes and ventricles),1
54103,Malignant neoplasm gallbladder and extrahepatic bile ducts,1
15907,Malignant neoplasm gallbladder/extrahepatic bile ducts NOS,1
49301,Malignant neoplasm lymphatic or haematopoietic tissue NOS,1
30646,Malignant neoplasm lymphatic or haematopoietic tissue OS,1
35795,Malignant neoplasm of Islets of Langerhans,1
63995,Malignant neoplasm of Meckel's diverticulum,1
95016,Malignant neoplasm of Waldeyer's ring,1
15976,Malignant neoplasm of abdomen,1
63470,Malignant neoplasm of abdominal oesophagus,1
55246,Malignant neoplasm of accessory sinus NOS,1
65599,Malignant neoplasm of acoustic nerve,1
33388,Malignant neoplasm of adenoid,1
61390,Malignant neoplasm of adrenal cortex,1
28148,Malignant neoplasm of adrenal gland,1
70824,Malignant neoplasm of adrenal gland NOS,1
94220,Malignant neoplasm of adrenal medulla,1
10949,Malignant neoplasm of ampulla of Vater,1
24370,Malignant neoplasm of anal canal,1
58121,Malignant neoplasm of anterior 2/3 of tongue unspecified,1
102142,Malignant neoplasm of anterior 2/3 of tongue ventral surface,1
46728,Malignant neoplasm of anterior epiglottis,1
73439,Malignant neoplasm of anterior epiglottis NOS,1
27715,Malignant neoplasm of anterior mediastinum,1
45408,Malignant neoplasm of anterior portion of floor of mouth,1
44139,Malignant neoplasm of anterior wall of nasopharynx,1
100918,Malignant neoplasm of anterior wall of nasopharynx NOS,1
65312,Malignant neoplasm of anterior wall of stomach NEC,1
19162,Malignant neoplasm of anterior wall of urinary bladder,1
27897,Malignant neoplasm of anus unspecified,1
47840,Malignant neoplasm of aortic body,1
50035,Malignant neoplasm of aortic body and other paraganglia,1
103995,Malignant neoplasm of aortic body or paraganglia NOS,1
18632,Malignant neoplasm of appendix,1
64686,Malignant neoplasm of areola of female breast,1
67884,Malignant neoplasm of areola of male breast,1
63460,Malignant neoplasm of arytenoid cartilage,1
10946,Malignant neoplasm of ascending colon,1
37618,Malignant neoplasm of axilla NOS,1
20685,Malignant neoplasm of axillary tail of female breast,1
68787,Malignant neoplasm of back NOS,1
48073,Malignant neoplasm of basal ganglia,1
43431,Malignant neoplasm of base of tongue,1
34409,Malignant neoplasm of base of tongue dorsal surface,1
41571,Malignant neoplasm of bladder neck,1
40810,Malignant neoplasm of body of pancreas,1
48743,Malignant neoplasm of body of penis,1
43572,Malignant neoplasm of body of stomach,1
7046,Malignant neoplasm of body of uterus,1
33617,Malignant neoplasm of body of uterus NOS,1
18314,Malignant neoplasm of bone and articular cartilage,1
16075,Malignant neoplasm of bone and articular cartilage NOS,1
59036,Malignant neoplasm of bones of skull and face,1
69146,Malignant neoplasm of bones of skull and face NOS,1
18617,Malignant neoplasm of brain,1
41520,Malignant neoplasm of brain NOS,1
44089,Malignant neoplasm of brain stem,1
68641,Malignant neoplasm of brain stem NOS,1
101778,Malignant neoplasm of broad ligament,1
3903,Malignant neoplasm of bronchus or lung NOS,1
30402,Malignant neoplasm of buccal mucosa,1
3811,Malignant neoplasm of caecum,1
72212,Malignant neoplasm of calcaneum,1
32022,Malignant neoplasm of cardia of stomach,1
37859,Malignant neoplasm of cardia of stomach NOS,1
100584,Malignant neoplasm of cardiac orifice of stomach,1
22894,Malignant neoplasm of cardio-oesophageal junction of stomach,1
17391,Malignant neoplasm of carina of bronchus,1
57047,Malignant neoplasm of carotid body,1
69104,Malignant neoplasm of carpal bone - lunate,1
57988,Malignant neoplasm of carpal bone - scaphoid,1
60035,Malignant neoplasm of cartilage of ear,1
71204,Malignant neoplasm of cartilage of nose,1
9622,Malignant neoplasm of cauda equina,1
31546,Malignant neoplasm of central part of female breast,1
45154,Malignant neoplasm of cerebellum,1
61399,Malignant neoplasm of cerebral cortex,1
28919,Malignant neoplasm of cerebral meninges,1
70104,Malignant neoplasm of cerebral meninges NOS,1
64557,Malignant neoplasm of cerebral peduncle,1
52511,Malignant neoplasm of cerebral ventricles,1
54133,Malignant neoplasm of cerebrum NOS,1
61695,Malignant neoplasm of cervical oesophagus,1
95505,Malignant neoplasm of cervical stump,1
46939,Malignant neoplasm of cervical vertebra,1
2747,Malignant neoplasm of cervix uteri,1
28311,Malignant neoplasm of cervix uteri NOS,1
41931,Malignant neoplasm of cheek NOS,1
31364,Malignant neoplasm of cheek mucosa,1
23861,Malignant neoplasm of chest wall NOS,1
15991,Malignant neoplasm of choroid,1
46789,Malignant neoplasm of choroid plexus,1
59041,Malignant neoplasm of ciliary body,1
66639,Malignant neoplasm of clavicle,1
53910,Malignant neoplasm of clitoris,1
46159,Malignant neoplasm of cloacogenic zone,1
46905,Malignant neoplasm of coccygeal body,1
66908,Malignant neoplasm of coccygeal vertebra,1
1220,Malignant neoplasm of colon,1
28163,Malignant neoplasm of colon NOS,1
96783,Malignant neoplasm of commissure of lip,1
7982,Malignant neoplasm of common bile duct,1
63657,Malignant neoplasm of conjunctiva,1
34451,Malignant neoplasm of connective and other soft tissue,1
45071,Malignant neoplasm of connective and soft tissue of abdomen,1
29160,Malignant neoplasm of connective and soft tissue of axilla,1
70463,Malignant neoplasm of connective and soft tissue of buttock,1
91586,Malignant neoplasm of connective and soft tissue of finger,1
54222,Malignant neoplasm of connective and soft tissue of foot,1
57482,Malignant neoplasm of connective and soft tissue of fore-arm,1
19321,Malignant neoplasm of connective and soft tissue of hand,1
102949,Malignant neoplasm of connective and soft tissue of hip,1
51965,Malignant neoplasm of connective and soft tissue of pelvis,1
59152,Malignant neoplasm of connective and soft tissue of perineum,1
50222,Malignant neoplasm of connective and soft tissue of shoulder,1
22290,Malignant neoplasm of connective and soft tissue of thorax,1
63988,Malignant neoplasm of connective and soft tissue of thumb,1
99572,Malignant neoplasm of connective and soft tissue of toe,1
15182,"Malignant neoplasm of connective and soft tissue, site NOS",1
64345,"Malignant neoplasm of connective and soft tissue, upper arm",1
86996,Malignant neoplasm of connective tissue of orbit,1
73992,Malignant neoplasm of cornea,1
72723,Malignant neoplasm of cornu of corpus uteri,1
59170,Malignant neoplasm of corpus callosum,1
45490,Malignant neoplasm of corpus uteri NOS,1
3213,"Malignant neoplasm of corpus uteri, excluding isthmus",1
60403,Malignant neoplasm of costal cartilage,1
67763,Malignant neoplasm of costo-vertebral joint,1
99621,Malignant neoplasm of cranial nerves,1
101086,Malignant neoplasm of cranial nerves NOS,1
39899,Malignant neoplasm of craniopharyngeal duct,1
37805,Malignant neoplasm of cricoid cartilage,1
72445,Malignant neoplasm of cystic duct,1
19475,Malignant neoplasm of descended testis,1
91509,Malignant neoplasm of descended testis NOS,1
10864,Malignant neoplasm of descending colon,1
54186,Malignant neoplasm of diaphragm,1
15709,Malignant neoplasm of digestive organs and peritoneum,1
51255,Malignant neoplasm of digestive tract and peritoneum NOS,1
44996,Malignant neoplasm of dome of urinary bladder,1
43642,Malignant neoplasm of dorsal surface of tongue,1
43781,Malignant neoplasm of dorsum of tongue NOS,1
18613,Malignant neoplasm of duodenum,1
96635,Malignant neoplasm of ectopic pancreatic tissue,1
95057,Malignant neoplasm of ectopic site of female breast,1
95323,Malignant neoplasm of ectopic site of male breast,1
63430,Malignant neoplasm of endocardium,1
57235,Malignant neoplasm of endocervical canal,1
53103,Malignant neoplasm of endocervical gland,1
48820,Malignant neoplasm of endocervix,1
50285,Malignant neoplasm of endocervix NOS,1
49400,Malignant neoplasm of endometrium,1
2890,Malignant neoplasm of endometrium of corpus uteri,1
72127,Malignant neoplasm of epididymis,1
55374,Malignant neoplasm of epiglottis NOS,1
26134,"Malignant neoplasm of epiglottis, free border",1
53594,Malignant neoplasm of ethmoid bone,1
54636,Malignant neoplasm of ethmoid sinus,1
50297,Malignant neoplasm of exocervix,1
23433,Malignant neoplasm of extrahepatic bile ducts,1
74896,Malignant neoplasm of extrahepatic bile ducts NOS,1
20160,Malignant neoplasm of eye,1
54956,Malignant neoplasm of eye NOS,1
56718,Malignant neoplasm of eyeball NOS,1
49828,Malignant neoplasm of fallopian tube,1
51926,Malignant neoplasm of faucial pillar,1
26448,Malignant neoplasm of faucial tonsil,1
3968,Malignant neoplasm of female breast,1
9470,Malignant neoplasm of female breast NOS,1
20166,Malignant neoplasm of female genital organ NOS,1
56513,Malignant neoplasm of femur,1
50402,Malignant neoplasm of fibula,1
94427,Malignant neoplasm of fifth metacarpal bone,1
69927,Malignant neoplasm of first metatarsal bone,1
91035,Malignant neoplasm of fixed part of tongue NOS,1
94355,Malignant neoplasm of flank NOS,1
20092,Malignant neoplasm of floor of mouth,1
36716,Malignant neoplasm of floor of mouth NOS,1
92382,Malignant neoplasm of fourth metatarsal bone,1
63979,Malignant neoplasm of frenulum linguae,1
53599,Malignant neoplasm of frontal bone,1
42426,Malignant neoplasm of frontal lobe,1
15684,Malignant neoplasm of frontal sinus,1
68155,Malignant neoplasm of fundus of corpus uteri,1
32362,Malignant neoplasm of fundus of stomach,1
16105,Malignant neoplasm of gallbladder,1
94278,Malignant neoplasm of gastro-oesophageal junction,1
13252,Malignant neoplasm of genitourinary organ,1
52594,Malignant neoplasm of genitourinary organ NOS,1
38931,Malignant neoplasm of genitourinary organ OS,1
17841,Malignant neoplasm of glans penis,1
99913,Malignant neoplasm of globus pallidus,1
51795,Malignant neoplasm of glomus jugulare,1
91895,Malignant neoplasm of glossoepiglottic fold,1
99185,Malignant neoplasm of glossopalatine fold,1
318,Malignant neoplasm of glottis,1
72522,Malignant neoplasm of great vessels,1
55434,Malignant neoplasm of greater curve of stomach unspecified,1
47899,Malignant neoplasm of greater vestibular (Bartholin's) gland,1
43400,Malignant neoplasm of gum,1
93218,Malignant neoplasm of gum NOS,1
73530,Malignant neoplasm of hand bones,1
73556,Malignant neoplasm of hand bones NOS,1
37590,Malignant neoplasm of hard palate,1
55098,Malignant neoplasm of head NOS,1
8771,Malignant neoplasm of head of pancreas,1
68236,"Malignant neoplasm of head, neck and face",1
58903,"Malignant neoplasm of head, neck and face NOS",1
95644,Malignant neoplasm of heart,1
50289,Malignant neoplasm of heart NOS,1
66750,"Malignant neoplasm of heart, thymus and mediastinum NOS",1
52537,Malignant neoplasm of hepatic duct,1
9088,Malignant neoplasm of hepatic flexure of colon,1
33444,Malignant neoplasm of hilus of lung,1
67236,Malignant neoplasm of hippocampus,1
37112,Malignant neoplasm of histiocytic tissue,1
61741,Malignant neoplasm of humerus,1
34012,Malignant neoplasm of hypopharynx,1
28451,Malignant neoplasm of hypopharynx NOS,1
70942,Malignant neoplasm of hypothalamus,1
33871,Malignant neoplasm of ileum,1
44609,Malignant neoplasm of ilium,1
57854,Malignant neoplasm of inguinal region NOS,1
65124,Malignant neoplasm of interlobular bile ducts,1
17559,"Malignant neoplasm of intestinal tract, part unspecified",1
16915,Malignant neoplasm of intrahepatic bile ducts,1
61643,Malignant neoplasm of intrahepatic bile ducts NOS,1
89593,Malignant neoplasm of intrahepatic biliary passages,1
58088,Malignant neoplasm of intrahepatic gall duct,1
97547,Malignant neoplasm of intrathoracic site NOS,1
59381,Malignant neoplasm of iris,1
59223,Malignant neoplasm of ischium,1
43940,Malignant neoplasm of isthmus of uterine body,1
70729,Malignant neoplasm of isthmus of uterine body NOS,1
51818,Malignant neoplasm of jaw NOS,1
43479,Malignant neoplasm of jejunum,1
96003,Malignant neoplasm of junction of hard and soft palate,1
48519,Malignant neoplasm of junctional region of epiglottis,1
29462,Malignant neoplasm of kidney or urinary organs NOS,1
1599,Malignant neoplasm of kidney parenchyma,1
43761,Malignant neoplasm of labia majora,1
59362,Malignant neoplasm of labia majora NOS,1
58061,Malignant neoplasm of labia minora,1
71584,Malignant neoplasm of lacrimal duct,1
64817,Malignant neoplasm of lacrimal gland,1
101805,Malignant neoplasm of lacrimal sac,1
43111,Malignant neoplasm of laryngeal cartilage,1
97332,Malignant neoplasm of laryngeal cartilage NOS,1
39084,Malignant neoplasm of laryngopharynx,1
319,Malignant neoplasm of larynx,1
9237,Malignant neoplasm of larynx NOS,1
26813,"Malignant neoplasm of larynx, other specified site",1
45986,Malignant neoplasm of lateral portion of floor of mouth,1
59004,Malignant neoplasm of lateral wall of nasopharynx,1
102205,Malignant neoplasm of lateral wall of nasopharynx NOS,1
56355,Malignant neoplasm of lateral wall of oropharynx,1
35963,Malignant neoplasm of lateral wall of urinary bladder,1
42193,Malignant neoplasm of lesser curve of stomach unspecified,1
24852,Malignant neoplasm of lingual tonsil,1
14712,Malignant neoplasm of lip,1
73614,"Malignant neoplasm of lip unspecified, buccal aspect",1
61692,"Malignant neoplasm of lip unspecified, inner aspect",1
68399,"Malignant neoplasm of lip unspecified, mucosa",1
100144,"Malignant neoplasm of lip, oral aspect",1
19415,"Malignant neoplasm of lip, oral cavity and pharynx",1
39430,"Malignant neoplasm of lip, oral cavity and pharynx NOS",1
37553,"Malignant neoplasm of lip, unspecified",1
100906,"Malignant neoplasm of lip, unspecified, external",1
94251,"Malignant neoplasm of lip, unspecified, lipstick area",1
69761,"Malignant neoplasm of lip, vermilion border NOS",1
8918,Malignant neoplasm of liver and intrahepatic bile ducts,1
38978,Malignant neoplasm of liver and intrahepatic bile ducts NOS,1
26393,Malignant neoplasm of liver unspecified,1
68055,Malignant neoplasm of long bones of leg,1
62630,Malignant neoplasm of long bones of leg NOS,1
97530,Malignant neoplasm of lower buccal sulcus,1
49360,Malignant neoplasm of lower gum,1
31399,Malignant neoplasm of lower limb NOS,1
67504,"Malignant neoplasm of lower lip, buccal aspect",1
66384,"Malignant neoplasm of lower lip, external",1
91843,"Malignant neoplasm of lower lip, frenulum",1
71147,"Malignant neoplasm of lower lip, inner aspect",1
96782,"Malignant neoplasm of lower lip, inner aspect NOS",1
95480,"Malignant neoplasm of lower lip, lipstick area",1
89909,"Malignant neoplasm of lower lip, mucosa",1
94441,"Malignant neoplasm of lower lip, oral aspect",1
67446,"Malignant neoplasm of lower lip, vermilion border",1
101707,"Malignant neoplasm of lower lip, vermilion border NOS",1
18678,Malignant neoplasm of lower lobe bronchus,1
12582,Malignant neoplasm of lower lobe of lung,1
31188,"Malignant neoplasm of lower lobe, bronchus or lung",1
42566,"Malignant neoplasm of lower lobe, bronchus or lung NOS",1
42416,Malignant neoplasm of lower third of oesophagus,1
59097,Malignant neoplasm of lower uterine segment,1
45222,Malignant neoplasm of lower-inner quadrant of female breast,1
42070,Malignant neoplasm of lower-outer quadrant of female breast,1
54691,Malignant neoplasm of lumbar vertebra,1
12323,Malignant neoplasm of lymphatic and haemopoietic tissue,1
12870,Malignant neoplasm of main bronchus,1
21698,Malignant neoplasm of main bronchus NOS,1
50475,Malignant neoplasm of major salivary gland NOS,1
20292,Malignant neoplasm of major salivary glands,1
59520,Malignant neoplasm of malar bone,1
19423,Malignant neoplasm of male breast,1
