medcodeid,readterm,cancer
414248013,B-cell prolymphocytic leukaemia,1
215751000000116,Basal cell carcinoma,1
853151000006113,Basal cell carcinoma,1
880451000006115,Benign Bladder Papilloma,1
1815401000006114,Blastic NK-cell lymphoma,1
260879014,Bone marrow: myeloma cells,1
520651000006114,Bone tumour/metast.irradiat.,1
517421000000115,Bowel cancer detected by national screening programme,1
2280371000000117,Bowel scope (flexible sigmoidoscopy) screen: cancer detected,1
140927016,Bowen's disease,1
1842171000006113,Breast cancer follow up - enhanced services administration,1
2663190016,Burkitt's lymphoma,1
289612010,Burkitt's lymphoma NOS,1
289605018,Burkitt's lymphoma of intra-abdominal lymph nodes,1
289608016,Burkitt's lymphoma of intrapelvic lymph nodes,1
289604019,Burkitt's lymphoma of intrathoracic lymph nodes,1
289606017,Burkitt's lymphoma of lymph nodes of axilla and upper limb,1
289603013,"Burkitt's lymphoma of lymph nodes of head, face and neck",1
527801000006112,Burkitt's lymphoma of lymph nodes of inguinal region and leg,1
289611015,Burkitt's lymphoma of lymph nodes of multiple sites,1
289610019,Burkitt's lymphoma of spleen,1
289602015,Burkitt's lymphoma of unspecified site,1
1215905010,Burkitt's tumour,1
557371000006110,"CIN I - II, cervical dysplasia",1
557381000006113,CIN I - mild dyskaryosis,1
557391000006111,CIN II - moderate dyskaryosis,1
557401000006113,CIN III - carcinoma in situ of cervix,1
557411000006111,CIN III - severe dyskaryosis,1
880771000006118,Ca - unspecified site,1
988751000006115,Ca - unspecified site,1
880511000006115,Ca - unspecified site NOS,1
1222170010,Ca Body - stomach,1
879911000006113,Ca anus,1
1228541018,Ca ascending colon,1
880081000006117,Ca bone/articular cartilage,1
880141000006110,Ca bone/joint cartilage NOS,1
990571000006118,Ca breast - NOS,1
880331000006115,Ca breast - NOS,1
880321000006118,Ca breast - axillary tail,1
880341000006113,Ca breast - male,1
880271000006114,Ca breast - nipple/central,1
880291000006110,"Ca breast-lower,inner quadrant",1
880311000006114,"Ca breast-lower,outer quadrant",1
880281000006112,"Ca breast-upper,inner quadrant",1
880301000006111,"Ca breast-upper,outer quadrant",1
1222167011,Ca cardia - stomach,1
880521000006111,Ca cerebrum,1
880361000006112,Ca cervix uteri - endocervix,1
880371000006117,Ca cervix uteri - exocervix,1
1228539019,Ca descending colon,1
880441000006117,Ca epididymis/spermatic cord,1
1490770018,Ca extrahepatic bile ducts,1
531851000006119,Ca female breast,1
1222169014,Ca fundus - stomach,1
879971000006116,Ca gall bladder,1
880501000006118,Ca genital organs NOS,1
879821000006114,Ca greater curvature - stomach,1
879711000006110,"Ca gum, + rest of mouth",1
1228537017,Ca hepatic flexure - colon,1
881201000006113,Ca in situ bladder - papilloma,1
879951000006114,Ca intrahepatic bile ducts,1
880481000006111,Ca kidney,1
880471000006113,Ca kidney/other urinary organs,1
880491000006114,Ca kidney/urinary organs NOS,1
880021000006116,Ca larynx - NOS,1
1494921019,Ca larynx - glottis,1
1228557018,Ca larynx - subglottis,1
1222176016,Ca larynx - supraglottis,1
879811000006118,Ca lesser curvature - stomach,1
879731000006116,"Ca lip, oral, pharynx NOS",1
1235891015,Ca liver - primary,1
879931000006119,Ca liver/biliary system,1
879961000006111,Ca liver/biliary system NOS,1
880131000006117,Ca lower limb bones,1
880071000006115,Ca lower lobe bronchus/lung,1
1216078017,Ca lower third oesophagus,1
880571000006112,Ca lymph nodes - secondary,1
879701000006112,Ca major salivary gland,1
880061000006110,Ca middle lobe bronchus/lung,1
1216077010,Ca middle third oesophagus,1
879721000006119,Ca oro/naso/hypopharynx,1
1222189010,Ca ovary/other uterine adnexa,1
880411000006116,Ca ovary/uterine adnexa NOS,1
1494922014,Ca pelvic bones/sacrum/coccyx,1
880431000006110,Ca penis,1
1222168018,Ca pylorus - stomach,1
1228543015,Ca rectosigmoid junction,1
879891000006111,Ca rectum + Ca anus,1
879921000006117,Ca rectum + Ca anus NOS,1
1222177013,Ca ribs/sternum/clavicle,1
1228540017,Ca sigmoid colon,1
880561000006117,Ca skin - head/neck,1
880241000006118,Ca skin - lower limb,1
880211000006117,Ca skin - other,1
990561000006113,Ca skin - other NOS,1
880251000006116,Ca skin - other NOS,1
880221000006113,Ca skin - trunk,1
880231000006111,Ca skin - upper limb,1
880091000006119,Ca skull/face/jaw bone,1
1228542013,Ca splenic flexure - colon,1
880531000006114,Ca thyroid,1
880041000006111,Ca trachea/bronchus/lung,1
880031000006118,Ca trachea/bronchus/lung NOS,1
1228538010,Ca transverse colon,1
880111000006111,Ca upper limb bones/scapula,1
880051000006113,Ca upper lobe bronchus/lung,1
1216076018,Ca upper third oesophagus,1
880391000006116,Ca uterus NOS,1
990581000006115,Ca uterus NOS,1
880421000006112,Ca vulva,1
531861000006117,Ca-in-situ of G.I. tract,1
1877231000006117,Cancer and/or significant invasive tumors,1
1488781019,Cancer care plan,1
1489330018,Cancer care plan discussed with patient,1
1489331019,Cancer care plan discussed with significant other,1
62561000000111,Cancer care plan given,1
1780324019,Cancer care review,1
501450016,Cancer chemotherapy,1
1551691000000115,Cancer chemotherapy management plan,1
1877461000006110,Cancer chemotherapy management plan no longer in place,1
1488798019,Cancer confirmed,1
1488780018,Cancer diagnosis discussed,1
1489329011,Cancer diagnosis discussed with patient,1
1489328015,Cancer diagnosis discussed with significant other,1
2533542012,Cancer emotional and psychosocial support and advice,1
1842161000006118,Cancer follow up - enhanced services administration,1
2549900011,Cancer home care pack given,1
2309351000000112,Cancer hormonal treatment drugs Band 1,1
2533540016,Cancer hospital treatment completed,1
939971000006111,Cancer medication review,1
1688911000000114,Cancer multidisciplinary team report,1
841331000006115,Cancer of bowel,1
1228570010,Cancer of ovary,1
2534102018,Cancer pain and symptom management,1
1488803011,Cancer primary healthcare multidisciplinary team,1
2534080010,Cancer rehabilitation and readaption,1
940011000006113,Cancer review administration,1
940021000006117,Cancer review invite 1,1
940031000006119,Cancer review invite 2,1
940041000006112,Cancer review invite 3,1
2548867016,Cancer shared care medication card,1
2534079012,Cancer short term health assessment,1
1780314010,Cancer supportive care worker,1
1488772013,Cancer treatment started,1
533321000006119,Cancers,1
1772971000006112,Carcinoid tumour of lung,1
880461000006118,Carcinoma bladder,1
880381000006119,Carcinoma body of uterus,1
880261000006119,Carcinoma breast,1
380139012,Carcinoma common bile duct,1
535221000006113,Carcinoma gallbladder,1
880351000006110,Carcinoma genital organs,1
2659784018,Carcinoma in situ,1
290901019,Carcinoma in situ NOS,1
881181000006112,Carcinoma in situ breast,1
881191000006110,Carcinoma in situ cervix uteri,1
153248016,Carcinoma in situ of Meckel's diverticulum,1
153085017,Carcinoma in situ of adrenal gland,1
153088015,Carcinoma in situ of ampulla of Vater,1
153089011,Carcinoma in situ of anal canal,1
290753018,Carcinoma in situ of anus NOS,1
153099018,Carcinoma in situ of appendix,1
290783010,Carcinoma in situ of aryepiglottic fold,1
290780013,Carcinoma in situ of arytenoid cartilage,1
153102018,Carcinoma in situ of ascending colon,1
535331000006115,Carcinoma in situ of biliary system,1
153107012,Carcinoma in situ of bladder,1
153111018,Carcinoma in situ of body of stomach,1
153112013,Carcinoma in situ of body of uterus,1
290868010,Carcinoma in situ of breast,1
290867017,Carcinoma in situ of breast and genitourinary system,1
290788018,Carcinoma in situ of bronchus and lung,1
290794014,Carcinoma in situ of bronchus or lung NOS,1
201638010,Carcinoma in situ of caecum,1
153124018,Carcinoma in situ of cardia of stomach,1
290789014,Carcinoma in situ of carina of bronchus,1
153129011,Carcinoma in situ of cervix uteri,1
510029018,Carcinoma in situ of cheek,1
153133016,Carcinoma in situ of colon,1
290750015,Carcinoma in situ of colon NOS,1
153136012,Carcinoma in situ of common bile duct,1
290778019,Carcinoma in situ of cricoid cartilage,1
290782017,Carcinoma in situ of cuneiform cartilage,1
153140015,Carcinoma in situ of cystic duct,1
153141016,Carcinoma in situ of descending colon,1
535541000006116,Carcinoma in situ of digestive organs,1
290775016,Carcinoma in situ of digestive organs NOS,1
153143018,Carcinoma in situ of duodenum,1
380242014,Carcinoma in situ of ear,1
153146014,Carcinoma in situ of endocervix,1
153149019,Carcinoma in situ of endometrium,1
153150019,Carcinoma in situ of epididymis,1
153151015,Carcinoma in situ of epiglottis,1
153155012,Carcinoma in situ of ethmoidal sinus,1
153156013,Carcinoma in situ of eustachian tube,1
153157016,Carcinoma in situ of exocervix,1
153160011,Carcinoma in situ of eye,1
153162015,Carcinoma in situ of fallopian tube,1
290889018,Carcinoma in situ of female genital organs NOS,1
153169012,Carcinoma in situ of floor of mouth,1
153173010,Carcinoma in situ of frontal sinus,1
153174016,Carcinoma in situ of fundus of stomach,1
535711000006110,Carcinoma in situ of gall bladder,1
153180012,Carcinoma in situ of glottis,1
535731000006116,Carcinoma in situ of gums,1
290768017,Carcinoma in situ of hepatic duct,1
153187010,Carcinoma in situ of hepatic flexure of colon,1
153191017,Carcinoma in situ of hypopharynx,1
153193019,Carcinoma in situ of ileum,1
153200017,Carcinoma in situ of intrahepatic bile ducts,1
153203015,Carcinoma in situ of jejunum,1
153218019,Carcinoma in situ of larynx,1
290787011,Carcinoma in situ of larynx NOS,1
153229015,Carcinoma in situ of lip,1
406054011,"Carcinoma in situ of lip, oral cavity and pharynx",1
290718013,"Carcinoma in situ of lip, oral cavity and pharynx NOS",1
153231012,Carcinoma in situ of liver,1
406332017,Carcinoma in situ of liver and biliary system,1
290772018,Carcinoma in situ of liver or biliary system NOS,1
1217274016,Carcinoma in situ of lower 1/3 oesophagus,1
290793015,Carcinoma in situ of lower lobe bronchus and lung,1
153239014,Carcinoma in situ of main bronchus,1
290893012,Carcinoma in situ of male genital organs NOS,1
153246017,Carcinoma in situ of mastoid air cells,1
153247014,Carcinoma in situ of maxillary sinus,1
1217275015,Carcinoma in situ of middle 1/3 oesophagus,1
290792013,Carcinoma in situ of middle lobe bronchus and lung,1
153256018,Carcinoma in situ of nasal cavity,1
535981000006118,Carcinoma in situ of nasal sinuses,1
153258017,Carcinoma in situ of nasopharynx,1
201640017,Carcinoma in situ of oesophagus,1
290732010,Carcinoma in situ of oesophagus NOS,1
510061019,Carcinoma in situ of oral cavity,1
153265013,Carcinoma in situ of oropharynx,1
290773011,Carcinoma in situ of other and unspecified digestive organs,1
403735010,Carcinoma in situ of other and unspecified parts of uterus,1
290895017,Carcinoma in situ of other and unspecified sites,1
290758010,Carcinoma in situ of other and unspecified small intestine,1
536081000006111,Carcinoma in situ of other specified part respiratory system,1
290896016,Carcinoma in situ of other specified site,1
290900018,Carcinoma in situ of other specified site NOS,1
290865013,Carcinoma in situ of other specified sites of skin,1
153267017,Carcinoma in situ of ovary,1
153268010,Carcinoma in situ of palate,1
153272014,Carcinoma in situ of pancreas,1
153276012,Carcinoma in situ of parathyroid gland,1
153280019,Carcinoma in situ of penis,1
153282010,Carcinoma in situ of perianal skin,1
153283017,Carcinoma in situ of pharynx,1
153286013,Carcinoma in situ of pituitary gland,1
153288014,Carcinoma in situ of pleura,1
153295017,Carcinoma in situ of prostate,1
153296016,Carcinoma in situ of pyloric antrum,1
510074013,Carcinoma in situ of pyloric canal,1
153299011,Carcinoma in situ of rectosigmoid junction,1
153300015,Carcinoma in situ of rectum,1
290751016,Carcinoma in situ of rectum and rectosigmoid junction,1
290752011,Carcinoma in situ of rectum or rectosigmoid junction NOS,1
290804014,Carcinoma in situ of respiratory organ NOS,1
290776015,Carcinoma in situ of respiratory system,1
536301000006117,Carcinoma in situ of salivary glands,1
290822012,Carcinoma in situ of scalp,1
290821017,Carcinoma in situ of scalp and skin of neck,1
290824013,Carcinoma in situ of scalp or skin of neck NOS,1
153311011,Carcinoma in situ of scrotum,1
153313014,Carcinoma in situ of sigmoid colon,1
153358015,Carcinoma in situ of skin,1
290866014,Carcinoma in situ of skin NOS,1
290830013,Carcinoma in situ of skin of abdominal wall,1
290808012,Carcinoma in situ of skin of auricle,1
153317010,Carcinoma in situ of skin of axilla,1
153318017,Carcinoma in situ of skin of back,1
153319013,Carcinoma in situ of skin of breast,1
153320019,Carcinoma in situ of skin of buttock,1
153321015,Carcinoma in situ of skin of cheek,1
290827018,Carcinoma in situ of skin of chest wall NOS,1
153327016,Carcinoma in situ of skin of eyebrow,1
290806011,Carcinoma in situ of skin of eyelid including canthus,1
153332015,Carcinoma in situ of skin of foot,1
1235762013,Carcinoma in situ of skin of forehead skin,1
153335018,Carcinoma in situ of skin of groin,1
153336017,Carcinoma in situ of skin of hand,1
153337014,Carcinoma in situ of skin of hip,1
290819010,Carcinoma in situ of skin of jaw,1
153338016,Carcinoma in situ of skin of knee,1
536561000006111,Carcinoma in situ of skin of leg,1
153340014,Carcinoma in situ of skin of lip,1
290839014,Carcinoma in situ of skin of lower arm,1
290849012,Carcinoma in situ of skin of lower leg,1
290843013,Carcinoma in situ of skin of lower limb and hip,1
290851011,Carcinoma in situ of skin of lower limb or hip NOS,1
153343011,Carcinoma in situ of skin of neck,1
153344017,Carcinoma in situ of skin of nose,1
536641000006113,Carcinoma in situ of skin of other parts of face,1
536651000006110,Carcinoma in situ of skin of other parts of face NOS,1
153345016,Carcinoma in situ of skin of perineum,1
153348019,Carcinoma in situ of skin of shoulder,1
290818019,Carcinoma in situ of skin of temple,1
153350010,Carcinoma in situ of skin of thigh,1
290835015,Carcinoma in situ of skin of trunk NOS,1
290825014,"Carcinoma in situ of skin of trunk, excluding scrotum",1
290838018,Carcinoma in situ of skin of upper arm,1
290836019,Carcinoma in situ of skin of upper limb and shoulder,1
290841010,Carcinoma in situ of skin of upper limb or shoulder NOS,1
536751000006117,Carcinoma in situ of specified parts respiratory system NOS,1
153364010,Carcinoma in situ of sphenoidal sinus,1
153365011,Carcinoma in situ of spleen,1
290749015,Carcinoma in situ of splenic flexure of colon,1
153367015,Carcinoma in situ of stomach,1
290741017,Carcinoma in situ of stomach NOS,1
153376010,Carcinoma in situ of testis,1
290777012,Carcinoma in situ of thyroid cartilage,1
153380017,Carcinoma in situ of thyroid gland,1
153382013,Carcinoma in situ of tongue,1
153386011,Carcinoma in situ of trachea,1
153388012,Carcinoma in situ of transverse colon,1
1217276019,Carcinoma in situ of upper 1/3 oesophagus,1
290791018,Carcinoma in situ of upper lobe bronchus and lung,1
290894018,Carcinoma in situ of urinary organs NOS,1
153410011,Carcinoma in situ of vagina,1
290784016,Carcinoma in situ of vestibular fold,1
510045016,Carcinoma in situ of vocal fold - glottis,1
153422014,Carcinoma in situ of vulva,1
536981000006110,Carcinoma in situ other and unspecified female genital organ,1
536991000006113,Carcinoma in situ other and unspecified male genital organs,1
537001000006117,Carcinoma in situ other and unspecified small intestine NOS,1
537011000006119,Carcinoma in situ skin of ear and external auricular canal,1
537021000006110,Carcinoma in situ skin of ear/external auricular canal NOS,1
380094018,"Carcinoma of bone, connective tissue, skin and breast",1
380129018,Carcinoma of caecum,1
537051000006118,Carcinoma of digestive organs and peritoneum,1
380092019,Carcinoma of genitourinary organ,1
403771011,Carcinoma of lip,1
380095017,"Carcinoma of lip, oral cavity and pharynx",1
380211016,Carcinoma of other and unspecified sites,1
379088010,Carcinoma of rectum,1
380110012,Carcinoma of respiratory tract and intrathoracic organs,1
450901012,Carcinomatosis,1
1009591000006119,Cause of learning disabilities: Brain tumour,1
878631000006116,Caustic injected into tumour,1
543041000006111,Cerebral metastasis,1
543111000006111,Cerebral tumour - malignant,1
543481000006111,Cervical carcinoma (uterus),1
424694018,Cervical intraepithelial neoplasia,1
424992017,Cervical intraepithelial neoplasia grade I,1
424999014,Cervical intraepithelial neoplasia grade II,1
543771000006118,Cervical intraepithelial neoplasia grade III,1
1884201000006111,Cervical smear - ?endocervical type glandular neoplasia,1
1884211000006114,Cervical smear - ?non-cervical type glandular neoplasia,1
116189017,Chemotherapy,1
283786017,Chemotherapy follow-up,1
299381000000111,Chemotherapy started,1
289903010,Chloroma,1
552511000006110,Chondroma,1
552661000006114,Choriocarcinoma,1
289184018,Choriocarcinoma,1
554151000006112,Chronic erythraemia,1
554641000006115,Chronic granulocytic leukaemia,1
289967013,Chronic leukaemia NOS,1
555131000006118,Chronic lymphatic leukaemia,1
2168681000000113,Chronic lymphocytic leukaemia of B-cell type,1
201652012,Chronic lymphoid leukaemia,1
289923011,Chronic monocytic leukaemia,1
201656010,Chronic myeloid leukaemia,1
289900013,Chronic myeloid leukaemia NOS,1
1815631000006115,"Chronic myeloid leukaemia, BCR/ABL positive",1
474077018,Chronic myelomonocytic leukaemia,1
138122012,Clark melanoma level 1,1
84190018,Clark melanoma level 2,1
35572018,Clark melanoma level 3,1
3704012,Clark melanoma level 4,1
27148012,Clark melanoma level 5,1
2233381000000115,Clinical stage A chronic lymphocytic leukaemia,1
2233421000000112,Clinical stage B chronic lymphocytic leukaemia,1
2233461000000116,Clinical stage C chronic lymphocytic leukaemia,1
573611000006118,Colonic cancer,1
262820017,Combined internal radiotherapy,1
1588601000006116,Combined photochemotherapy and UVA light therapy to skin,1
1588611000006118,Combined photochemotherapy and UVB light therapy to skin,1
1488637017,Combined post-operative chemotherapy and radiotherapy,1
1488636014,Combined pre-operative chemotherapy and radiotherapy,1
262799017,Combined radiotherapy,1
262805011,Combined radiotherapy NOS,1
283784019,Combined therapy follow-up,1
2023181000006118,Consent to participate in national cancer registry,1
453168018,Continuous infusion of chemotherapy,1
593611000006110,Convalescence after chemother.,1
593631000006116,Convalescence after radiother.,1
1884191000006113,Crv smr - hi grade dyskaryosis? invasive squamous carcinoma,1
1815331000006113,Cutaneous T-cell lymphoma,1
1815221000006115,Cutaneous follicle centre lymphoma,1
988581000006116,Cytotoxic bladder instillation,1
878841000006110,Cytotoxic given orally,1
226911000000117,Date cancer diagnosis received in primary care,1
2534072015,Date chemotherapy completed,1
2534095012,Date chemotherapy stopped,1
1937971000006115,Delayed diagnosis of cancer,1
1555061000006111,Deliv complex parenteral chemotherapy neopl first attendance,1
1555071000006116,Deliver simple parenteral chemother neoplas first attendance,1
1556101000006116,Delivery fraction complex radiotherapy megavoltage machine,1
1556121000006114,Delivery fraction radiotherapy superficial orthovoltage mach,1
1556111000006118,Delivery fraction simple radiotherapy megavoltage machine,1
490611000000119,Delivery of a fraction of external beam radiotherapy NEC,1
385761000000110,Delivery of a fraction of interstitial radiotherapy,1
381941000000114,Delivery of a fraction of intracavitary radiotherapy,1
380261000000112,Delivery of chemotherapy for neoplasm,1
387451000000112,Delivery of chemotherapy for neoplasm NOS,1
380141000000118,Delivery of oral chemotherapy for neoplasm,1
387331000000112,Delivery of oral chemotherapy for neoplasm NOS,1
1555081000006118,Delivery subsequent element cycle chemotherapy for neoplasm,1
413089014,Dermatofibrosarcoma protuberans,1
201658011,Di Guglielmo's disease,1
2901912012,Diffuse follicle centre lymphoma,1
198006010,Diffuse large B-cell lymphoma,1
621041000006116,Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma,1
444799014,Diffuse non-Hodgkin's centroblastic lymphoma,1
1219545019,Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma,1
1668101000000112,Diffuse non-Hodgkin's large cell lymphoma,1
621071000006112,Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma,1
289812013,Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse),1
621091000006113,"Diffuse non-Hodgkin's lymphoma, unspecified",1
289799010,Diffuse non-Hodgkin's small cell (diffuse) lymphoma,1
289801013,Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma,1
1844571000006114,Discharge from cancer primary healthcare MDT,1
2492161000000114,Discharge from secondary care cancer service,1
880761000006113,Disseminated Ca -unspecif site,1
988761000006118,Disseminated Ca -unspecif site,1
403704016,Disseminated malignancy NOS,1
2023191000006115,Dissent to participate in national cancer registry,1
354343018,Drash syndrome,1
282787016,Drug prophylaxis,1
6411000033115,Drugs Used In Malignant Disease And Immunosuppression,1
633341000006117,Dysplasia of vulva,1
2189111000000116,Electrochemotherapy,1
1805911000006118,Electrochemotherapy,1
2306981000000110,Electroporation therapy,1
414298014,Enteropathy-associated T-cell lymphoma,1
1815371000006111,Enteropathy-type (intestinal) T-cell lymphoma,1
474703011,Eosinophilic granuloma,1
411225019,Epithelioma basal cell,1
118574012,Erythroplasia,1
2180581000000112,Establishing focus of care with specialist cancer team,1
139191000000116,Excepted from cancer quality indicators: Informed dissent,1
139181000000118,Excepted from cancer quality indicators: Patient unsuitable,1
158091000000113,Exception reporting: cancer quality indicators,1
598561000000110,Excision biopsy of basal cell carcinoma,1
598801000000114,Excision biopsy of rodent ulcer,1
651081000006111,Excision malignant skin tumour,1
657671000006110,Ext.beam + chemotherapy,1
657691000006111,Ext.beam-surgery+chemotherapy,1
2676252014,External beam radiotherapy to lesion of retina,1
658421000006110,External radiotherapy,1
262806012,External radiotherapy NOS,1
2532159017,Extramedullary plasmacytoma,1
1815131000006111,Extranod marg zone B-cell lymphom mucosa-assoc lymphoid tiss,1
2534467019,"Extranodal NK/T-cell lymphoma, nasal type",1
378691015,FIGO staging of gynaecological malignancy,1
672281000006111,Fetus/neonate affected-plac./breast transfer chemotherapy,1
288762017,Fibrosarcoma of spleen,1
1815151000006116,Follicular lymphoma,1
763421000006116,Follicular lymphoma NOS,1
1815161000006119,Follicular lymphoma grade 1,1
1815171000006114,Follicular lymphoma grade 2,1
1815181000006112,Follicular lymphoma grade 3,1
2124491000000113,Follicular lymphoma grade 3a,1
2124511000000117,Follicular lymphoma grade 3b,1
763431000006118,Follicular non-Hodg mixed sml cleavd & lge cell lymphoma,1
414278016,Follicular non-Hodgkin's large cell lymphoma,1
451429010,Follicular non-Hodgkin's lymphoma,1
414257019,Follicular non-Hodgkin's small cleaved cell lymphoma,1
258131000000113,GP out of hours service notified of cancer care plan,1
2659693012,Gamma heavy chain disease,1
844951000006111,Gleason grading of prostate cancer,1
1490806016,Gleason prostate grade 2-4 (low),1
1488634012,Gleason prostate grade 5-7 (medium),1
1490807013,Gleason prostate grade 8-10 (high),1
175996013,Glioma,1
304036011,Glomerular disorders in neoplastic diseases,1
1755801000006118,Grade 1 (Stage pTa) papillary urothelial/transitional cell carcinoma,1
1755811000006115,Grade 2 (Stage pTa) papillary urothelial/transitional cell carcinoma,1
1755821000006111,Grade 3 (Stage pTa) papillary urothelial/transitional cell carcinoma,1
289904016,Granulocytic sarcoma,1
825711000006111,"HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu",1
825721000006115,HIV dis resulting oth types of non-Hodgkin's lymphoma,1
2168331000000117,HIV disease resulting in Burkitt lymphoma,1
287029018,HIV disease resulting in Burkitt's lymphoma,1
1814931000006110,HIV disease resulting in Kaposi sarcoma,1
825771000006119,HIV disease resulting in Kaposi's sarcoma,1
825791000006118,HIV disease resulting in multiple diseases CE,1
287031010,HIV disease resulting in multiple malignant neoplasms,1
1814951000006115,HIV disease resulting in other types of non-Hodgkin lymphoma,1
825841000006115,HIV disease resulting in unspecified malignant neoplasm,1
1591211000006111,Hairy cell leukaemia,1
1699081000006116,Has cancer key worker,1
1149831000000113,Has cancer key worker,1
114573012,Heavy chain disease,1
819461000006112,Heilmeyer - Schoner disease,1
342834014,Hepatoblastoma of liver,1
342807011,Hepatocellular carcinoma,1
2872841013,Hepatosplenic T-cell lymphoma,1
459527013,Hereditary nonpolyposis colon cancer,1
1728161000006116,Hereditary nonpolyposis colon cancer,1
299581000000117,High grade prostatic intraepithelial neoplasia,1
289921013,Histiocytic leukaemia,1
2659772015,Histiocytic sarcoma,1
824231000006111,"Histiocytosis X (acute, progressive)",1
824241000006118,Histiocytosis X (chronic),1
824251000006116,"Histiocytosis X , chronic",1
293617011,"Histiocytosis X , unspecified",1
293618018,"Histiocytosis, unspecified",1
1815031000006110,Hodgkin lymphoma,1
1815101000006115,Hodgkin lymphoma NOS,1
2663377018,"Hodgkin lymphoma, lymphocyte-rich",1
2663473018,Hodgkin's disease,1
289702012,Hodgkin's disease NOS,1
826121000006114,Hodgkin's disease NOS,1
289706010,Hodgkin's disease NOS of intra-abdominal lymph nodes,1
289709015,Hodgkin's disease NOS of intrapelvic lymph nodes,1
289705014,Hodgkin's disease NOS of intrathoracic lymph nodes,1
826171000006110,Hodgkin's disease NOS of lymph nodes inguinal region and leg,1
826181000006113,Hodgkin's disease NOS of lymph nodes of axilla and arm,1
289704013,"Hodgkin's disease NOS of lymph nodes of head, face and neck",1
289711012,Hodgkin's disease NOS of lymph nodes of multiple sites,1
289710013,Hodgkin's disease NOS of spleen,1
289703019,"Hodgkin's disease NOS, unspecified site",1
2663187010,"Hodgkin's disease, lymphocytic depletion",1
289701017,"Hodgkin's disease, lymphocytic depletion NOS",1
289699017,"Hodgkin's disease, lymphocytic depletion of spleen",1
826261000006110,"Hodgkin's disease, lymphocytic-histiocytic predominance",1
2663461018,"Hodgkin's disease, mixed cellularity",1
289679011,"Hodgkin's disease, mixed cellularity NOS",1
154798010,"Hodgkin's disease, mixed cellularity of spleen",1
